GEOID,District0,District1,District2,District3,District4
1001020100,3.0,18.0,23.0,38.0,46.0
1001020200,3.0,18.0,23.0,38.0,46.0
1001020300,3.0,18.0,23.0,38.0,46.0
1001020400,3.0,18.0,23.0,38.0,46.0
1001020501,3.0,18.0,23.0,38.0,46.0
1001020502,3.0,18.0,23.0,38.0,46.0
1001020503,3.0,18.0,23.0,38.0,46.0
1001020600,3.0,18.0,23.0,38.0,46.0
1001020700,3.0,18.0,23.0,38.0,46.0
1001020801,3.0,18.0,23.0,38.0,46.0
1001020803,3.0,18.0,23.0,38.0,46.0
1001020804,3.0,18.0,23.0,38.0,46.0
1001020805,3.0,18.0,23.0,38.0,46.0
1001020901,3.0,18.0,23.0,38.0,46.0
1001020902,3.0,18.0,23.0,38.0,46.0
1001021000,3.0,18.0,23.0,38.0,46.0
1001021100,3.0,18.0,23.0,38.0,46.0
1003010100,0.0,11.0,22.0,34.0,48.0
1003010200,0.0,11.0,22.0,34.0,48.0
1003010300,0.0,11.0,22.0,34.0,48.0
1003010400,0.0,11.0,22.0,34.0,48.0
1003010500,0.0,11.0,22.0,34.0,48.0
1003010600,0.0,11.0,22.0,34.0,48.0
1003010704,0.0,11.0,22.0,34.0,48.0
1003010706,0.0,11.0,22.0,34.0,48.0
1003010707,0.0,11.0,22.0,34.0,48.0
1003010708,0.0,11.0,22.0,34.0,48.0
1003010709,0.0,11.0,22.0,34.0,48.0
1003010710,0.0,11.0,22.0,34.0,48.0
1003010711,0.0,11.0,22.0,34.0,48.0
1003010800,0.0,11.0,22.0,34.0,48.0
1003010903,0.0,11.0,22.0,34.0,48.0
1003010904,0.0,11.0,22.0,34.0,48.0
1003010906,0.0,11.0,22.0,34.0,48.0
1003010907,0.0,11.0,22.0,34.0,48.0
1003010908,0.0,11.0,22.0,34.0,48.0
1003011000,0.0,11.0,22.0,34.0,48.0
1003011102,0.0,11.0,22.0,34.0,48.0
1003011103,0.0,11.0,22.0,34.0,48.0
1003011104,0.0,11.0,22.0,34.0,48.0
1003011201,0.0,11.0,22.0,34.0,48.0
1003011202,0.0,11.0,22.0,34.0,48.0
