GEOID,District0,District1,District2,District3,District4
01001020100,3.0,22.0,55.0,69.0,72.0
01001020200,3.0,22.0,55.0,69.0,72.0
01001020300,3.0,22.0,55.0,70.0,72.0
01001020400,3.0,22.0,55.0,70.0,72.0
01001020501,4.0,22.0,55.0,70.0,72.0
01001020502,4.0,22.0,55.0,70.0,72.0
01001020503,3.0,22.0,55.0,70.0,72.0
01001020600,3.0,36.0,55.0,69.0,72.0
01001020700,4.0,22.0,55.0,69.0,72.0
01001020801,3.0,36.0,55.0,69.0,72.0
01001020803,3.0,36.0,49.0,70.0,72.0
01001020804,3.0,22.0,55.0,70.0,72.0
01001020805,3.0,22.0,55.0,70.0,72.0
01001020901,3.0,22.0,55.0,70.0,73.0
01001020902,3.0,22.0,49.0,70.0,73.0
01001021000,3.0,36.0,49.0,70.0,73.0
01001021100,3.0,36.0,49.0,69.0,72.0
01003010100,2.0,36.0,49.0,57.0,95.0
01003010200,2.0,36.0,55.0,57.0,95.0
01003010300,2.0,36.0,49.0,57.0,95.0
01003010400,2.0,36.0,55.0,57.0,95.0
01003010500,2.0,36.0,55.0,57.0,95.0
01003010600,2.0,36.0,49.0,57.0,95.0
01003010704,2.0,36.0,49.0,57.0,95.0
01003010706,2.0,36.0,49.0,57.0,95.0
01003010707,2.0,36.0,49.0,57.0,95.0
01003010708,2.0,36.0,49.0,57.0,95.0
01003010709,2.0,36.0,49.0,57.0,95.0
01003010710,2.0,36.0,49.0,57.0,95.0
01003010711,2.0,36.0,49.0,57.0,95.0
01003010800,2.0,36.0,49.0,57.0,95.0
01003010903,2.0,36.0,55.0,57.0,95.0
01003010904,2.0,36.0,55.0,57.0,95.0
01003010906,2.0,36.0,55.0,57.0,95.0
01003010907,2.0,36.0,55.0,57.0,95.0
01003010908,2.0,36.0,55.0,57.0,95.0
01003011000,2.0,36.0,55.0,57.0,95.0
01003011102,2.0,36.0,55.0,57.0,95.0
01003011103,2.0,36.0,49.0,57.0,95.0
01003011104,2.0,36.0,55.0,57.0,95.0
01003011201,2.0,36.0,49.0,57.0,95.0
01003011202,2.0,36.0,49.0,57.0,95.0
01003011300,2.0,36.0,55.0,57.0,95.0
01003011409,2.0,36.0,55.0,57.0,95.0
01003011410,2.0,36.0,55.0,57.0,95.0
01003011411,2.0,36.0,55.0,57.0,95.0
01003011412,2.0,36.0,55.0,57.0,95.0
01003011413,2.0,36.0,55.0,57.0,95.0
01003011414,2.0,36.0,55.0,57.0,95.0
01003011415,2.0,36.0,55.0,57.0,95.0
01003011416,2.0,36.0,55.0,57.0,95.0
01003011417,2.0,36.0,55.0,57.0,95.0
01003011418,2.0,36.0,55.0,57.0,95.0
01003011419,2.0,36.0,55.0,57.0,95.0
01003011501,2.0,36.0,55.0,57.0,95.0
