GEOID20,District0,District1,District2,District3,District4
360290001101000,1.0,35.0,64.0,84.0,103.0
360290001101001,1.0,35.0,64.0,84.0,103.0
360290001101002,1.0,35.0,64.0,84.0,103.0
360290001101003,1.0,35.0,64.0,84.0,103.0
360290001101004,1.0,35.0,64.0,84.0,103.0
360290001101005,1.0,35.0,64.0,84.0,103.0
360290001101006,1.0,25.0,64.0,84.0,103.0
360290001102000,1.0,35.0,64.0,84.0,103.0
360290001102001,1.0,35.0,64.0,84.0,103.0
360290001102002,1.0,35.0,64.0,84.0,103.0
360290001102003,1.0,35.0,64.0,84.0,103.0
360290001102004,1.0,35.0,64.0,84.0,103.0
360290001102005,1.0,35.0,64.0,84.0,103.0
360290001103000,0.0,35.0,50.0,85.0,103.0
360290001103001,1.0,35.0,64.0,84.0,103.0
360290001103002,1.0,35.0,64.0,84.0,103.0
360290001103003,0.0,35.0,64.0,84.0,90.0
360290001103004,1.0,35.0,64.0,84.0,103.0
360290001103005,1.0,35.0,64.0,85.0,103.0
360290001103006,1.0,35.0,64.0,85.0,103.0
360290001103007,1.0,25.0,64.0,84.0,90.0
360290001103008,0.0,25.0,64.0,84.0,90.0
360290001103009,0.0,25.0,64.0,84.0,90.0
360290001103010,0.0,25.0,64.0,84.0,90.0
360290001103011,1.0,25.0,64.0,84.0,90.0
360290001103012,1.0,25.0,64.0,84.0,90.0
360290001103013,1.0,25.0,64.0,84.0,90.0
360290001103017,1.0,25.0,64.0,84.0,90.0
360290001103019,1.0,25.0,64.0,84.0,90.0
360290001103020,1.0,25.0,64.0,84.0,90.0
360290001103021,1.0,25.0,64.0,84.0,90.0
360290001103022,1.0,25.0,64.0,84.0,90.0
360290001103023,1.0,25.0,64.0,84.0,90.0
360290001103024,1.0,25.0,64.0,84.0,90.0
360290001103025,1.0,25.0,64.0,84.0,90.0
360290001103026,1.0,25.0,64.0,84.0,103.0
360290001103027,1.0,25.0,64.0,84.0,103.0
360290001103028,1.0,35.0,64.0,84.0,103.0
