GEOID20,District0,District1,District2,District3,District4
360290001101000,16.0,31.0,39.0,62.0,95.0
360290001101001,16.0,31.0,39.0,62.0,95.0
360290001101002,16.0,31.0,39.0,62.0,95.0
360290001101003,16.0,31.0,39.0,62.0,95.0
360290001101004,16.0,31.0,39.0,62.0,95.0
360290001101005,16.0,31.0,39.0,62.0,95.0
360290001101006,16.0,31.0,39.0,62.0,95.0
360290001102000,16.0,31.0,39.0,62.0,95.0
360290001102001,16.0,31.0,39.0,62.0,95.0
360290001102002,16.0,31.0,39.0,62.0,95.0
360290001102003,16.0,31.0,39.0,62.0,95.0
360290001102004,16.0,31.0,39.0,62.0,95.0
360290001102005,16.0,31.0,39.0,62.0,95.0
360290001103000,16.0,17.0,40.0,62.0,75.0
360290001103001,16.0,31.0,39.0,62.0,95.0
360290001103002,16.0,32.0,39.0,62.0,95.0
360290001103003,0.0,17.0,38.0,62.0,75.0
360290001103004,16.0,31.0,39.0,62.0,95.0
360290001103005,16.0,32.0,39.0,62.0,95.0
360290001103006,16.0,31.0,39.0,62.0,95.0
360290001103007,0.0,31.0,39.0,62.0,75.0
360290001103008,0.0,31.0,38.0,62.0,75.0
360290001103009,0.0,31.0,38.0,62.0,75.0
360290001103010,0.0,31.0,38.0,62.0,75.0
360290001103011,0.0,31.0,39.0,62.0,75.0
360290001103012,0.0,31.0,39.0,62.0,75.0
360290001103013,0.0,31.0,39.0,62.0,75.0
360290001103017,0.0,31.0,39.0,62.0,75.0
360290001103019,16.0,31.0,39.0,62.0,75.0
360290001103020,16.0,31.0,39.0,62.0,75.0
360290001103021,16.0,31.0,39.0,62.0,75.0
360290001103022,16.0,31.0,39.0,62.0,75.0
360290001103023,16.0,31.0,39.0,62.0,75.0
360290001103024,16.0,31.0,39.0,62.0,75.0
360290001103025,16.0,31.0,39.0,62.0,75.0
360290001103026,16.0,31.0,39.0,62.0,75.0
360290001103027,16.0,31.0,39.0,62.0,95.0
360290001103028,16.0,31.0,39.0,62.0,95.0
360290001103029,16.0,31.0,39.0,62.0,95.0
360290001103030,16.0,31.0,39.0,62.0,95.0
360290001103031,16.0,31.0,39.0,62.0,95.0
360290001103032,16.0,31.0,39.0,62.0,95.0
360290001103033,16.0,32.0,39.0,62.0,95.0
360290001103034,16.0,32.0,39.0,62.0,95.0
360290001103035,16.0,32.0,39.0,62.0,95.0
360290001103036,16.0,31.0,39.0,62.0,95.0
360290001103037,16.0,31.0,39.0,62.0,95.0
360290001103038,16.0,31.0,39.0,62.0,75.0
360290001103039,16.0,31.0,39.0,62.0,75.0
