GEOID20,District0,District1,District2,District3,District4
360290001101000,4.0,49.0,72.0,94.0,111.0
360290001101001,4.0,49.0,72.0,94.0,111.0
360290001101002,4.0,49.0,72.0,94.0,111.0
360290001101003,4.0,49.0,72.0,94.0,111.0
360290001101004,4.0,49.0,72.0,94.0,111.0
360290001101005,4.0,49.0,72.0,94.0,111.0
360290001101006,4.0,49.0,72.0,94.0,111.0
360290001102000,4.0,49.0,72.0,94.0,111.0
360290001102001,4.0,49.0,72.0,94.0,111.0
360290001102002,4.0,49.0,72.0,94.0,111.0
360290001102003,4.0,49.0,72.0,94.0,111.0
360290001102004,4.0,49.0,72.0,94.0,111.0
360290001102005,4.0,49.0,72.0,94.0,111.0
360290001103000,4.0,45.0,72.0,94.0,111.0
360290001103001,4.0,49.0,72.0,94.0,111.0
360290001103002,4.0,49.0,72.0,94.0,111.0
360290001103003,4.0,46.0,72.0,94.0,111.0
360290001103004,4.0,49.0,72.0,94.0,111.0
360290001103005,4.0,49.0,72.0,94.0,111.0
360290001103006,4.0,49.0,72.0,94.0,111.0
360290001103007,4.0,46.0,72.0,94.0,111.0
360290001103008,4.0,46.0,72.0,83.0,111.0
360290001103009,4.0,46.0,72.0,83.0,111.0
360290001103010,4.0,46.0,72.0,83.0,111.0
360290001103011,4.0,46.0,72.0,94.0,111.0
360290001103012,4.0,46.0,72.0,94.0,111.0
360290001103013,4.0,46.0,72.0,83.0,111.0
360290001103017,4.0,46.0,72.0,94.0,111.0
360290001103019,4.0,46.0,72.0,94.0,111.0
360290001103020,4.0,46.0,72.0,94.0,111.0
360290001103021,4.0,46.0,72.0,94.0,111.0
360290001103022,4.0,46.0,72.0,94.0,111.0
360290001103023,4.0,46.0,72.0,94.0,111.0
360290001103024,4.0,46.0,72.0,94.0,111.0
360290001103025,4.0,46.0,72.0,94.0,111.0
360290001103026,4.0,46.0,72.0,94.0,111.0
360290001103027,4.0,49.0,72.0,94.0,111.0
360290001103028,4.0,49.0,72.0,94.0,111.0
360290001103029,4.0,49.0,72.0,94.0,111.0
360290001103030,4.0,49.0,72.0,94.0,111.0
360290001103031,4.0,49.0,72.0,94.0,111.0
360290001103032,4.0,49.0,72.0,94.0,111.0
360290001103033,4.0,49.0,72.0,94.0,111.0
360290001103034,4.0,49.0,72.0,94.0,111.0
360290001103035,4.0,49.0,72.0,94.0,111.0
360290001103036,4.0,49.0,72.0,94.0,111.0
360290001103037,4.0,49.0,72.0,94.0,111.0
360290001103038,4.0,46.0,72.0,94.0,111.0
360290001103039,4.0,46.0,72.0,94.0,111.0
360290001103040,4.0,46.0,72.0,94.0,111.0
360290001103041,4.0,49.0,72.0,94.0,111.0
360290001103042,4.0,49.0,72.0,94.0,111.0
360290001103043,4.0,49.0,72.0,94.0,111.0
360290001103044,4.0,49.0,72.0,94.0,111.0
360290001103045,4.0,46.0,72.0,94.0,111.0
360290001103046,4.0,46.0,72.0,94.0,111.0
360290001103047,4.0,46.0,72.0,94.0,111.0
360290001103048,4.0,46.0,72.0,94.0,111.0
360290001103049,4.0,46.0,72.0,94.0,111.0
360290001103050,4.0,49.0,72.0,94.0,111.0
360290001103051,4.0,49.0,72.0,94.0,111.0
360290001103052,4.0,49.0,72.0,94.0,111.0
360290001103053,4.0,49.0,72.0,94.0,111.0
360290001103054,4.0,49.0,72.0,94.0,111.0
360290001103055,4.0,46.0,72.0,94.0,111.0
360290001103056,4.0,46.0,72.0,94.0,111.0
