GEOID20,District0,District1,District2,District3,District4
360290001101000,16.0,22.0,49.0,94.0,113.0
360290001101001,16.0,22.0,49.0,94.0,113.0
360290001101002,16.0,22.0,49.0,94.0,113.0
360290001101003,16.0,22.0,49.0,94.0,113.0
360290001101004,16.0,22.0,49.0,94.0,113.0
360290001101005,16.0,22.0,49.0,94.0,113.0
360290001101006,16.0,22.0,49.0,94.0,113.0
360290001102000,16.0,22.0,49.0,94.0,113.0
360290001102001,16.0,22.0,49.0,94.0,113.0
360290001102002,16.0,22.0,49.0,94.0,113.0
360290001102003,16.0,22.0,49.0,94.0,113.0
360290001102004,16.0,22.0,49.0,94.0,113.0
360290001102005,16.0,22.0,49.0,94.0,113.0
360290001103000,17.0,22.0,49.0,94.0,114.0
360290001103001,17.0,22.0,49.0,94.0,114.0
360290001103002,17.0,22.0,49.0,94.0,114.0
360290001103003,17.0,22.0,49.0,94.0,114.0
360290001103004,16.0,22.0,49.0,94.0,114.0
360290001103005,17.0,22.0,49.0,94.0,114.0
360290001103006,17.0,22.0,49.0,94.0,114.0
360290001103007,17.0,22.0,49.0,94.0,114.0
360290001103008,17.0,22.0,49.0,94.0,114.0
360290001103009,17.0,22.0,49.0,94.0,114.0
360290001103010,17.0,22.0,49.0,94.0,114.0
360290001103011,17.0,22.0,49.0,94.0,114.0
360290001103012,17.0,22.0,49.0,94.0,114.0
360290001103013,17.0,22.0,49.0,94.0,114.0
360290001103017,17.0,22.0,49.0,94.0,114.0
360290001103019,16.0,22.0,49.0,94.0,114.0
360290001103020,16.0,22.0,49.0,94.0,114.0
360290001103021,16.0,22.0,49.0,94.0,114.0
360290001103022,16.0,22.0,49.0,94.0,114.0
360290001103023,16.0,22.0,49.0,94.0,114.0
360290001103024,16.0,22.0,49.0,94.0,114.0
360290001103025,16.0,22.0,49.0,94.0,114.0
360290001103026,16.0,22.0,49.0,94.0,113.0
360290001103027,16.0,22.0,49.0,94.0,113.0
360290001103028,16.0,22.0,49.0,94.0,113.0
360290001103029,16.0,22.0,49.0,94.0,113.0
360290001103030,16.0,22.0,49.0,94.0,113.0
360290001103031,16.0,22.0,49.0,94.0,113.0
360290001103032,16.0,22.0,50.0,94.0,113.0
360290001103033,17.0,22.0,50.0,94.0,113.0
360290001103034,17.0,22.0,50.0,94.0,113.0
360290001103035,17.0,22.0,49.0,94.0,114.0
360290001103036,16.0,22.0,50.0,94.0,114.0
360290001103037,16.0,22.0,49.0,94.0,113.0
360290001103038,16.0,22.0,49.0,94.0,113.0
360290001103039,16.0,22.0,49.0,94.0,114.0
360290001103040,16.0,22.0,49.0,94.0,114.0
360290001103041,16.0,22.0,49.0,94.0,113.0
360290001103042,16.0,22.0,49.0,94.0,113.0
360290001103043,16.0,22.0,49.0,94.0,113.0
360290001103044,16.0,22.0,49.0,94.0,113.0
360290001103045,16.0,22.0,49.0,94.0,113.0
360290001103046,16.0,22.0,49.0,94.0,113.0
360290001103047,16.0,22.0,49.0,94.0,113.0
360290001103048,16.0,22.0,49.0,94.0,113.0
360290001103049,16.0,22.0,49.0,94.0,114.0
360290001103050,16.0,22.0,49.0,94.0,113.0
360290001103051,16.0,22.0,49.0,94.0,113.0
360290001103052,16.0,22.0,49.0,94.0,113.0
360290001103053,16.0,22.0,49.0,94.0,113.0
360290001103054,16.0,22.0,49.0,94.0,113.0
360290001103055,16.0,22.0,49.0,94.0,114.0
360290001103056,16.0,22.0,49.0,94.0,114.0
360290001103057,17.0,22.0,49.0,94.0,114.0
360290002001000,17.0,22.0,50.0,94.0,113.0
360290002001001,17.0,22.0,50.0,94.0,113.0
360290002001002,17.0,22.0,50.0,94.0,113.0
360290002001003,17.0,22.0,50.0,94.0,113.0
360290002001004,17.0,22.0,50.0,94.0,113.0
360290002001005,17.0,22.0,50.0,94.0,113.0
360290002001006,17.0,22.0,50.0,94.0,113.0
360290002001007,17.0,22.0,50.0,94.0,113.0
360290002001008,17.0,22.0,50.0,94.0,113.0
360290002001009,17.0,22.0,50.0,94.0,113.0
360290002001010,17.0,22.0,50.0,94.0,113.0
360290002001011,17.0,22.0,50.0,94.0,113.0
360290002001012,16.0,22.0,50.0,94.0,113.0
360290002001013,16.0,22.0,50.0,94.0,113.0
360290002002000,17.0,22.0,49.0,94.0,113.0
360290002002001,16.0,22.0,49.0,94.0,113.0
360290002002002,16.0,22.0,49.0,94.0,113.0
360290002002003,16.0,22.0,49.0,94.0,113.0
360290002002004,16.0,22.0,49.0,94.0,113.0
360290002002005,16.0,22.0,49.0,94.0,113.0
360290002003000,16.0,22.0,49.0,94.0,113.0
360290002003001,16.0,22.0,49.0,94.0,113.0
360290002003002,16.0,22.0,49.0,94.0,113.0
360290002003003,16.0,22.0,49.0,94.0,113.0
360290002003004,16.0,22.0,49.0,94.0,113.0
360290002003005,16.0,22.0,49.0,94.0,113.0
360290002004000,17.0,22.0,50.0,94.0,113.0
360290002004001,17.0,22.0,50.0,94.0,113.0
360290002004002,16.0,22.0,50.0,94.0,113.0
360290002004003,17.0,22.0,50.0,94.0,113.0
360290002004004,16.0,22.0,49.0,94.0,113.0
360290002004005,16.0,22.0,50.0,94.0,113.0
360290002004006,16.0,22.0,49.0,94.0,113.0
360290002004007,16.0,22.0,49.0,94.0,113.0
