GEOID,District0,District1,District2
01021060701,264.0,2151.0,5026.0
01021060702,264.0,2151.0,5026.0
01023956700,264.0,491.0,5026.0
01023956800,264.0,491.0,5026.0
01023956900,264.0,491.0,5026.0
01023957000,264.0,491.0,5027.0
01025957500,264.0,491.0,5026.0
01025957601,264.0,491.0,5026.0
01025957603,264.0,491.0,5026.0
01025957604,264.0,491.0,5026.0
01025957700,264.0,491.0,5026.0
01025957800,405.0,491.0,5028.0
01025957901,405.0,491.0,5027.0
01025957902,405.0,491.0,5027.0
01025958003,405.0,490.0,5027.0
01027958900,29.0,2153.0,2670.0
01027959000,29.0,2153.0,2670.0
01027959100,29.0,2153.0,2670.0
01027959200,29.0,2153.0,2670.0
01029959500,0.0,2153.0,2630.0
01029959600,0.0,2153.0,2630.0
01029959700,0.0,2153.0,2670.0
01029959800,0.0,2152.0,2670.0
01031010100,404.0,491.0,5028.0
01031010200,404.0,491.0,5028.0
01031010300,404.0,491.0,5028.0
01031010400,404.0,491.0,5028.0
01031010500,404.0,491.0,5028.0
01031010600,404.0,491.0,5028.0
01031010700,404.0,491.0,5028.0
01031010800,404.0,491.0,5028.0
01031010900,404.0,491.0,5028.0
01031011000,404.0,491.0,5028.0
01031011100,404.0,491.0,5028.0
01031011203,404.0,491.0,5028.0
01031011204,404.0,491.0,5028.0
01031011205,404.0,491.0,5028.0
01031011206,404.0,2152.0,5028.0
01031011300,404.0,491.0,5028.0
01033020100,1.0,478.0,2631.0
01033020200,1.0,478.0,5026.0
01033020300,1.0,478.0,2631.0
01033020400,1.0,478.0,5026.0
01033020500,1.0,478.0,5026.0
01033020600,1.0,478.0,2631.0
01033020703,1.0,478.0,2631.0
01033020704,1.0,478.0,2631.0
01033020705,1.0,478.0,2631.0
01033020706,1.0,478.0,2631.0
01033020801,1.0,478.0,2631.0
01033020802,1.0,478.0,2631.0
01033020901,1.0,478.0,2631.0
01033020902,1.0,478.0,5026.0
01033021000,1.0,478.0,5026.0
01035960200,404.0,491.0,5028.0
01035960300,404.0,490.0,5027.0
01035960400,404.0,490.0,5028.0
01035960500,404.0,490.0,5028.0
01035960600,404.0,491.0,5028.0
01037961000,29.0,2153.0,2670.0
01037961100,29.0,2153.0,2670.0
01037961200,29.0,2153.0,2670.0
01039961600,404.0,491.0,5028.0
01039961700,404.0,491.0,5028.0
01039961800,404.0,491.0,5028.0
01039961900,404.0,491.0,5028.0
01039962000,404.0,491.0,5028.0
01039962100,404.0,491.0,5028.0
01039962300,404.0,491.0,5028.0
01039962400,404.0,491.0,5028.0
01039962500,404.0,491.0,5028.0
01039962600,404.0,491.0,5028.0
01039962700,404.0,491.0,5028.0
01039962800,404.0,491.0,5028.0
01039962900,404.0,491.0,5028.0
01039963000,404.0,491.0,5028.0
01041963400,404.0,491.0,5028.0
01041963500,404.0,491.0,5028.0
01041963600,404.0,491.0,5028.0
01041963700,404.0,491.0,5028.0
01041963800,404.0,491.0,5028.0
01041963900,404.0,491.0,5028.0
01043964100,0.0,479.0,2630.0
01043964201,0.0,479.0,2630.0
01043964202,0.0,479.0,2630.0
01043964300,1.0,478.0,2631.0
01043964400,1.0,478.0,2631.0
01043964500,1.0,478.0,2631.0
01043964600,1.0,478.0,2631.0
01043964700,1.0,478.0,2631.0
01043964800,0.0,478.0,2631.0
01043964901,0.0,478.0,2630.0
01043964902,1.0,478.0,2631.0
01043965001,0.0,478.0,2631.0
01043965002,0.0,478.0,2631.0
01043965100,0.0,478.0,2630.0
01043965200,0.0,478.0,2630.0
01043965300,0.0,479.0,2630.0
01043965401,0.0,478.0,2630.0
01043965402,0.0,478.0,2630.0
01043965501,265.0,478.0,2630.0
01043965502,1.0,478.0,2631.0
01043965600,1.0,478.0,2631.0
01043965700,265.0,478.0,2631.0
01045020000,404.0,2152.0,5028.0
01045020100,404.0,2152.0,5028.0
01045020200,404.0,2152.0,5028.0
01045020300,404.0,2152.0,5028.0
01045020400,404.0,2152.0,5028.0
01045020500,404.0,2152.0,5028.0
01045020700,404.0,2152.0,5028.0
01045020801,404.0,2152.0,5028.0
01045020802,404.0,2152.0,5028.0
01045021101,404.0,2152.0,5028.0
01045021102,404.0,2152.0,5028.0
01045021200,404.0,491.0,5028.0
01045021300,404.0,2152.0,5028.0
01045021400,404.0,2152.0,5028.0
01047956101,264.0,2151.0,5026.0
01047956102,264.0,2151.0,5026.0
01047956201,264.0,491.0,5026.0
01047956202,264.0,2151.0,5026.0
01047956300,264.0,2151.0,5026.0
01047956400,264.0,2151.0,5026.0
01047956500,264.0,2151.0,5026.0
01047956600,264.0,2151.0,5028.0
01047956701,264.0,491.0,5026.0
01047956702,264.0,491.0,5026.0
01047956800,264.0,491.0,5026.0
01047956900,264.0,491.0,5026.0
01047957000,264.0,491.0,5028.0
01047957100,264.0,491.0,5028.0
01047957200,264.0,491.0,5028.0
01047957301,264.0,2151.0,5026.0
01047957302,264.0,2151.0,5026.0
01049960101,0.0,479.0,2630.0
01049960102,0.0,479.0,2630.0
01049960200,0.0,479.0,2630.0
01049960301,0.0,479.0,2630.0
01049960302,0.0,479.0,2630.0
01049960303,0.0,479.0,2630.0
01049960401,0.0,479.0,2630.0
01049960402,0.0,479.0,2630.0
01049960500,0.0,479.0,2630.0
01049960601,0.0,479.0,2630.0
01049960602,0.0,479.0,2630.0
01049960701,0.0,479.0,2630.0
01049960702,0.0,479.0,2630.0
01049960703,0.0,479.0,2630.0
01049960800,0.0,479.0,2630.0
01049960900,0.0,479.0,2630.0
01049961000,0.0,479.0,2630.0
01049961100,0.0,479.0,2630.0
01049961200,0.0,479.0,2630.0
01049961300,0.0,479.0,2630.0
01049961400,0.0,479.0,2630.0
01051030101,29.0,2153.0,5026.0
01051030102,29.0,2153.0,5026.0
01051030103,264.0,2151.0,5026.0
01051030200,29.0,2153.0,5026.0
01051030300,29.0,2153.0,2670.0
01051030401,29.0,2152.0,5026.0
01051030402,29.0,2152.0,5026.0
01051030500,29.0,2153.0,5026.0
01051030600,29.0,2153.0,5026.0
01051030701,29.0,2152.0,5026.0
01051030702,29.0,2153.0,5026.0
01051030801,29.0,2153.0,5026.0
01051030802,29.0,2153.0,5026.0
01051030901,264.0,2151.0,5026.0
01051030902,29.0,2151.0,5026.0
01051031001,264.0,2151.0,5026.0
01051031002,264.0,2151.0,5026.0
01051031100,264.0,2151.0,5026.0
01051031200,264.0,2151.0,5026.0
01051031300,264.0,2151.0,5026.0
01053969801,405.0,490.0,5027.0
01053969802,404.0,490.0,5027.0
01053969900,405.0,490.0,5027.0
01053970100,404.0,490.0,5027.0
01053970200,405.0,490.0,5027.0
01053970300,405.0,490.0,5027.0
01053970400,405.0,490.0,5027.0
01053970500,405.0,490.0,5027.0
01053970600,405.0,490.0,5027.0
01053970700,405.0,490.0,5027.0
01055000200,0.0,2153.0,2630.0
01055000300,0.0,2153.0,2630.0
01055000400,0.0,479.0,2630.0
01055000500,0.0,2153.0,2630.0
01055000600,0.0,2153.0,2630.0
01055000700,0.0,2153.0,2630.0
01055000800,0.0,2153.0,2630.0
01055000900,0.0,2153.0,2630.0
01055001000,0.0,2153.0,2630.0
01055001100,0.0,2153.0,2630.0
01055001200,0.0,2153.0,2630.0
01055001300,0.0,2153.0,2630.0
01055001600,0.0,2153.0,2630.0
01055001700,0.0,2153.0,2630.0
01055010100,0.0,479.0,2630.0
01055010201,0.0,2153.0,2630.0
01055010202,0.0,2153.0,2630.0
01055010300,0.0,479.0,2630.0
01055010401,0.0,2153.0,2630.0
01055010402,0.0,2153.0,2630.0
01055010503,0.0,2153.0,2670.0
01055010504,0.0,2153.0,2630.0
01055010505,0.0,2153.0,2630.0
01055010506,0.0,2153.0,2630.0
01055010601,0.0,2153.0,2630.0
01055010602,0.0,2153.0,2630.0
01055010700,0.0,2153.0,2630.0
01055010800,0.0,2153.0,2630.0
01055010900,0.0,479.0,2630.0
01055011001,0.0,479.0,2630.0
01055011002,0.0,479.0,2630.0
01055011100,0.0,479.0,2630.0
01055011200,0.0,2153.0,2630.0
01057020000,265.0,478.0,2631.0
01057020100,265.0,478.0,5026.0
01057020200,265.0,478.0,5026.0
01057020300,265.0,491.0,5026.0
01057020400,265.0,491.0,2631.0
01059972900,1.0,478.0,2631.0
01059973000,1.0,478.0,2631.0
01059973100,1.0,478.0,5026.0
01059973200,1.0,478.0,2631.0
01059973300,1.0,478.0,2631.0
01059973400,1.0,478.0,5026.0
01059973500,1.0,478.0,5026.0
01059973600,1.0,478.0,5026.0
01059973701,1.0,478.0,2631.0
01059973702,1.0,478.0,2631.0
01059973703,1.0,478.0,2631.0
01061050100,404.0,491.0,5028.0
