GEOID20,District0,District1,District2,District3,District4
360290001101000,10.0,55.0,87.0,106.0,145.0
360290001101001,10.0,55.0,87.0,106.0,145.0
360290001101002,10.0,55.0,87.0,106.0,145.0
360290001101003,10.0,55.0,87.0,106.0,145.0
360290001101004,10.0,55.0,87.0,106.0,145.0
360290001101005,10.0,55.0,87.0,106.0,145.0
360290001101006,10.0,55.0,87.0,106.0,145.0
360290001102000,10.0,55.0,87.0,106.0,145.0
360290001102001,10.0,55.0,87.0,106.0,145.0
360290001102002,10.0,55.0,87.0,106.0,145.0
360290001102003,10.0,55.0,87.0,106.0,145.0
360290001102004,10.0,55.0,87.0,106.0,145.0
360290001102005,10.0,55.0,87.0,106.0,145.0
360290001103000,10.0,59.0,87.0,119.0,146.0
360290001103001,10.0,55.0,87.0,119.0,145.0
360290001103002,1.0,55.0,87.0,119.0,146.0
360290001103003,10.0,59.0,78.0,119.0,145.0
360290001103004,10.0,55.0,87.0,106.0,145.0
360290001103005,1.0,55.0,87.0,119.0,145.0
360290001103006,1.0,55.0,87.0,119.0,145.0
360290001103007,16.0,59.0,87.0,119.0,145.0
360290001103008,16.0,59.0,64.0,119.0,145.0
360290001103009,16.0,59.0,64.0,119.0,145.0
360290001103010,16.0,59.0,64.0,119.0,145.0
360290001103011,16.0,59.0,64.0,119.0,145.0
360290001103012,16.0,59.0,64.0,119.0,145.0
360290001103013,16.0,59.0,64.0,119.0,145.0
360290001103017,16.0,59.0,64.0,119.0,145.0
360290001103019,16.0,55.0,64.0,106.0,145.0
360290001103020,16.0,55.0,64.0,106.0,145.0
360290001103021,16.0,55.0,64.0,106.0,145.0
360290001103022,16.0,55.0,64.0,106.0,145.0
360290001103023,16.0,55.0,64.0,106.0,145.0
360290001103024,16.0,55.0,87.0,106.0,145.0
360290001103025,16.0,55.0,87.0,106.0,145.0
360290001103026,16.0,55.0,87.0,106.0,145.0
360290001103027,10.0,55.0,87.0,106.0,145.0
360290001103028,10.0,55.0,87.0,106.0,145.0
360290001103029,10.0,55.0,87.0,106.0,145.0
360290001103030,10.0,55.0,87.0,106.0,145.0
360290001103031,1.0,55.0,87.0,106.0,145.0
360290001103032,1.0,55.0,87.0,106.0,145.0
360290001103033,1.0,55.0,87.0,119.0,146.0
360290001103034,1.0,55.0,87.0,119.0,146.0
360290001103035,1.0,55.0,87.0,119.0,146.0
360290001103036,1.0,55.0,87.0,119.0,145.0
360290001103037,16.0,55.0,87.0,106.0,145.0
360290001103038,16.0,55.0,87.0,106.0,145.0
360290001103039,16.0,55.0,87.0,106.0,145.0
360290001103040,16.0,55.0,87.0,106.0,145.0
360290001103041,10.0,55.0,87.0,106.0,145.0
360290001103042,10.0,55.0,87.0,106.0,145.0
360290001103043,10.0,55.0,87.0,106.0,145.0
360290001103044,16.0,55.0,87.0,106.0,145.0
360290001103045,16.0,55.0,87.0,106.0,145.0
360290001103046,16.0,55.0,87.0,106.0,145.0
360290001103047,16.0,55.0,87.0,106.0,145.0
360290001103048,16.0,55.0,87.0,106.0,145.0
360290001103049,16.0,55.0,87.0,106.0,145.0
360290001103050,16.0,55.0,87.0,106.0,145.0
360290001103051,10.0,55.0,87.0,106.0,145.0
360290001103052,10.0,55.0,87.0,106.0,145.0
360290001103053,10.0,55.0,87.0,106.0,145.0
360290001103054,10.0,55.0,87.0,106.0,145.0
360290001103055,16.0,55.0,64.0,106.0,145.0
360290001103056,16.0,55.0,64.0,106.0,145.0
360290001103057,10.0,59.0,78.0,119.0,145.0
360290002001000,1.0,55.0,87.0,119.0,146.0
360290002001001,1.0,55.0,87.0,119.0,146.0
360290002001002,1.0,55.0,87.0,119.0,146.0
360290002001003,1.0,55.0,87.0,119.0,146.0
360290002001004,1.0,55.0,87.0,119.0,146.0
360290002001005,1.0,55.0,87.0,119.0,146.0
360290002001006,1.0,55.0,87.0,119.0,146.0
360290002001007,1.0,55.0,87.0,119.0,146.0
360290002001008,1.0,55.0,87.0,119.0,146.0
360290002001009,1.0,55.0,87.0,119.0,146.0
360290002001010,1.0,55.0,87.0,106.0,146.0
360290002001011,1.0,55.0,87.0,119.0,146.0
360290002001012,1.0,55.0,87.0,106.0,146.0
360290002001013,1.0,55.0,87.0,106.0,145.0
360290002002000,1.0,55.0,87.0,106.0,145.0
360290002002001,1.0,55.0,87.0,106.0,145.0
360290002002002,1.0,55.0,87.0,106.0,145.0
360290002002003,10.0,55.0,87.0,106.0,145.0
360290002002004,1.0,55.0,87.0,106.0,145.0
360290002002005,10.0,55.0,87.0,106.0,145.0
360290002003000,10.0,55.0,87.0,106.0,145.0
360290002003001,10.0,55.0,87.0,106.0,145.0
360290002003002,10.0,55.0,87.0,106.0,145.0
360290002003003,10.0,55.0,87.0,106.0,145.0
360290002003004,10.0,55.0,87.0,106.0,145.0
360290002003005,10.0,55.0,87.0,106.0,145.0
360290002004000,1.0,55.0,87.0,119.0,146.0
360290002004001,1.0,55.0,87.0,119.0,146.0
360290002004002,1.0,55.0,87.0,119.0,146.0
360290002004003,1.0,55.0,87.0,106.0,146.0
360290002004004,1.0,55.0,87.0,106.0,145.0
360290002004005,1.0,55.0,87.0,106.0,145.0
360290002004006,1.0,55.0,87.0,106.0,145.0
360290002004007,10.0,55.0,87.0,106.0,145.0
360290002004008,1.0,55.0,87.0,106.0,145.0
360290002004009,10.0,55.0,87.0,106.0,145.0
360290002004010,1.0,55.0,87.0,106.0,145.0
360290005001000,16.0,59.0,78.0,119.0,145.0
360290005001001,16.0,59.0,78.0,119.0,145.0
360290005001002,16.0,59.0,78.0,119.0,145.0
360290005001003,16.0,59.0,78.0,119.0,145.0
360290005001004,16.0,59.0,78.0,119.0,145.0
360290005001005,16.0,59.0,78.0,119.0,145.0
360290005001006,16.0,59.0,78.0,119.0,145.0
360290005001007,16.0,59.0,64.0,119.0,145.0
360290005001008,16.0,59.0,64.0,119.0,145.0
360290005001009,16.0,59.0,64.0,119.0,145.0
360290005001010,16.0,59.0,64.0,119.0,145.0
360290005001011,16.0,59.0,64.0,119.0,145.0
360290005001012,16.0,59.0,64.0,119.0,145.0
360290005001013,16.0,59.0,64.0,119.0,145.0
360290005001014,16.0,59.0,64.0,119.0,145.0
360290005001015,16.0,59.0,64.0,119.0,145.0
360290005001016,16.0,59.0,64.0,119.0,145.0
360290005001017,16.0,59.0,64.0,119.0,145.0
360290005001018,16.0,59.0,64.0,119.0,145.0
360290005001019,16.0,59.0,64.0,119.0,145.0
360290005001020,16.0,59.0,64.0,119.0,145.0
360290005001021,16.0,59.0,64.0,119.0,145.0
360290005001022,16.0,59.0,64.0,119.0,145.0
