GEOID20,District0,District1,District2,District3,District4
360290001101000,37.0,83.0,121.0,184.0,232.0
360290001101001,37.0,83.0,121.0,184.0,232.0
360290001101002,37.0,83.0,121.0,184.0,232.0
360290001101003,37.0,83.0,121.0,184.0,232.0
360290001101004,37.0,83.0,121.0,184.0,232.0
360290001101005,37.0,83.0,121.0,184.0,232.0
360290001101006,37.0,83.0,121.0,184.0,232.0
360290001102000,37.0,83.0,121.0,184.0,232.0
360290001102001,37.0,83.0,121.0,184.0,232.0
360290001102002,37.0,83.0,121.0,184.0,232.0
360290001102003,37.0,83.0,121.0,184.0,232.0
360290001102004,37.0,83.0,121.0,184.0,232.0
360290001102005,37.0,83.0,121.0,184.0,232.0
360290001103000,36.0,72.0,127.0,184.0,233.0
360290001103001,37.0,83.0,121.0,184.0,232.0
360290001103002,37.0,72.0,121.0,184.0,232.0
360290001103003,36.0,72.0,127.0,183.0,232.0
360290001103004,37.0,83.0,121.0,184.0,232.0
360290001103005,37.0,72.0,121.0,184.0,232.0
360290001103006,37.0,72.0,121.0,184.0,232.0
360290001103007,36.0,83.0,121.0,183.0,232.0
360290001103008,36.0,83.0,121.0,183.0,232.0
360290001103009,36.0,83.0,121.0,183.0,232.0
360290001103010,36.0,83.0,121.0,183.0,232.0
360290001103011,36.0,83.0,121.0,183.0,232.0
360290001103012,36.0,83.0,121.0,183.0,232.0
360290001103013,36.0,83.0,121.0,183.0,232.0
360290001103017,36.0,83.0,121.0,183.0,232.0
360290001103019,36.0,83.0,121.0,183.0,232.0
360290001103020,37.0,83.0,121.0,184.0,232.0
360290001103021,37.0,83.0,121.0,184.0,232.0
360290001103022,37.0,83.0,121.0,184.0,232.0
360290001103023,37.0,83.0,121.0,184.0,232.0
360290001103024,37.0,83.0,121.0,184.0,232.0
360290001103025,36.0,83.0,121.0,183.0,232.0
360290001103026,37.0,83.0,121.0,184.0,232.0
360290001103027,37.0,83.0,121.0,184.0,232.0
360290001103028,37.0,83.0,121.0,184.0,232.0
360290001103029,37.0,83.0,121.0,184.0,232.0
360290001103030,37.0,83.0,121.0,184.0,232.0
360290001103031,37.0,72.0,121.0,184.0,232.0
360290001103032,37.0,72.0,121.0,184.0,232.0
360290001103033,37.0,72.0,127.0,184.0,232.0
360290001103034,37.0,72.0,127.0,184.0,232.0
360290001103035,37.0,72.0,127.0,184.0,232.0
360290001103036,37.0,72.0,121.0,184.0,232.0
360290001103037,37.0,83.0,121.0,184.0,232.0
360290001103038,37.0,83.0,121.0,184.0,232.0
360290001103039,37.0,83.0,121.0,184.0,232.0
360290001103040,37.0,83.0,121.0,184.0,232.0
360290001103041,37.0,83.0,121.0,184.0,232.0
360290001103042,37.0,83.0,121.0,184.0,232.0
360290001103043,37.0,83.0,121.0,184.0,232.0
360290001103044,37.0,83.0,121.0,184.0,232.0
360290001103045,37.0,83.0,121.0,184.0,232.0
360290001103046,37.0,83.0,121.0,184.0,232.0
360290001103047,37.0,83.0,121.0,184.0,232.0
360290001103048,37.0,83.0,121.0,184.0,232.0
360290001103049,37.0,83.0,121.0,184.0,232.0
