GEOID20,District0,District1,District2,District3,District4,District5,District6,District7
360290002002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002002003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002002004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002002005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002003000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002003001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002003002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002003003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002003004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002003005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290002004010,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290005001000,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001001,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001002,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001003,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001004,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001005,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001006,6.0,27.0,47.0,67.0,106.0,127.0,151.0,169.0
360290005001007,6.0,27.0,47.0,67.0,100.0,127.0,151.0,169.0
360290005001008,6.0,27.0,47.0,67.0,100.0,127.0,151.0,169.0
360290005001009,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001010,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001011,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005001012,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
