GEOID20,District0,District1,District2,District3,District4
360290001101000,18.0,41.0,45.0,82.0,96.0
360290001101001,18.0,41.0,45.0,82.0,96.0
360290001101002,18.0,41.0,45.0,82.0,96.0
360290001101003,18.0,41.0,45.0,82.0,96.0
360290001101004,18.0,41.0,45.0,82.0,96.0
360290001101005,18.0,41.0,45.0,82.0,96.0
360290001101006,18.0,41.0,45.0,82.0,96.0
360290001102000,18.0,41.0,45.0,82.0,96.0
360290001102001,18.0,41.0,45.0,82.0,96.0
360290001102002,18.0,41.0,45.0,82.0,96.0
360290001102003,18.0,41.0,45.0,82.0,96.0
360290001102004,18.0,41.0,45.0,82.0,96.0
360290001102005,18.0,41.0,45.0,82.0,96.0
360290001103000,19.0,41.0,45.0,83.0,95.0
360290001103001,19.0,41.0,45.0,82.0,95.0
360290001103002,19.0,41.0,45.0,83.0,95.0
360290001103003,19.0,38.0,45.0,82.0,95.0
360290001103004,19.0,41.0,45.0,82.0,95.0
360290001103005,19.0,41.0,45.0,83.0,95.0
360290001103006,19.0,41.0,45.0,83.0,95.0
360290001103007,19.0,41.0,45.0,82.0,96.0
360290001103008,19.0,41.0,45.0,82.0,96.0
360290001103009,19.0,41.0,45.0,82.0,96.0
360290001103010,19.0,41.0,45.0,82.0,96.0
360290001103011,19.0,41.0,45.0,82.0,96.0
360290001103012,19.0,41.0,45.0,82.0,96.0
360290001103013,19.0,41.0,45.0,82.0,96.0
360290001103017,19.0,41.0,45.0,82.0,96.0
360290001103019,19.0,41.0,45.0,82.0,96.0
360290001103020,18.0,41.0,45.0,82.0,96.0
360290001103021,18.0,41.0,45.0,82.0,96.0
360290001103022,18.0,41.0,45.0,82.0,96.0
360290001103023,18.0,41.0,45.0,82.0,96.0
360290001103024,18.0,41.0,45.0,82.0,96.0
360290001103025,19.0,41.0,45.0,82.0,96.0
360290001103026,18.0,41.0,45.0,82.0,96.0
360290001103027,18.0,41.0,45.0,82.0,96.0
360290001103028,18.0,41.0,45.0,82.0,96.0
360290001103029,18.0,41.0,45.0,82.0,95.0
360290001103030,18.0,41.0,45.0,82.0,95.0
360290001103031,19.0,41.0,45.0,83.0,95.0
360290001103032,19.0,41.0,45.0,83.0,95.0
360290001103033,19.0,41.0,45.0,83.0,95.0
360290001103034,19.0,41.0,45.0,83.0,95.0
360290001103035,19.0,41.0,45.0,83.0,95.0
360290001103036,19.0,41.0,45.0,83.0,95.0
360290001103037,18.0,41.0,45.0,82.0,96.0
360290001103038,18.0,41.0,45.0,82.0,96.0
360290001103039,18.0,41.0,45.0,82.0,96.0
360290001103040,18.0,41.0,45.0,82.0,96.0
360290001103041,18.0,41.0,45.0,82.0,96.0
360290001103042,18.0,41.0,45.0,82.0,96.0
360290001103043,18.0,41.0,45.0,82.0,96.0
360290001103044,18.0,41.0,45.0,82.0,96.0
360290001103045,18.0,41.0,45.0,82.0,96.0
360290001103046,18.0,41.0,45.0,82.0,96.0
360290001103047,18.0,41.0,45.0,82.0,96.0
360290001103048,18.0,41.0,45.0,82.0,96.0
360290001103049,18.0,41.0,45.0,82.0,96.0
360290001103050,18.0,41.0,45.0,82.0,96.0
360290001103051,18.0,41.0,45.0,82.0,96.0
360290001103052,18.0,41.0,45.0,82.0,96.0
360290001103053,18.0,41.0,45.0,82.0,96.0
360290001103054,18.0,41.0,45.0,82.0,96.0
360290001103055,18.0,41.0,45.0,82.0,96.0
360290001103056,18.0,41.0,45.0,82.0,96.0
360290001103057,19.0,38.0,45.0,82.0,95.0
360290002001000,19.0,41.0,45.0,83.0,95.0
360290002001001,19.0,41.0,45.0,83.0,95.0
360290002001002,19.0,41.0,45.0,83.0,95.0
360290002001003,19.0,41.0,45.0,83.0,95.0
360290002001004,19.0,41.0,45.0,83.0,95.0
360290002001005,19.0,41.0,45.0,83.0,95.0
360290002001006,19.0,41.0,45.0,83.0,95.0
360290002001007,19.0,41.0,45.0,83.0,95.0
360290002001008,19.0,41.0,45.0,83.0,95.0
360290002001009,19.0,41.0,45.0,83.0,95.0
360290002001010,18.0,41.0,45.0,83.0,95.0
360290002001011,18.0,41.0,45.0,83.0,95.0
360290002001012,18.0,41.0,45.0,83.0,95.0
360290002001013,18.0,41.0,45.0,83.0,95.0
360290002002000,18.0,41.0,45.0,83.0,95.0
360290002002001,18.0,41.0,45.0,83.0,95.0
360290002002002,18.0,41.0,45.0,83.0,95.0
360290002002003,18.0,41.0,45.0,82.0,95.0
360290002002004,18.0,41.0,45.0,83.0,95.0
360290002002005,18.0,41.0,45.0,82.0,95.0
360290002003000,18.0,41.0,45.0,82.0,95.0
360290002003001,18.0,41.0,45.0,82.0,95.0
360290002003002,18.0,41.0,45.0,82.0,95.0
360290002003003,18.0,41.0,45.0,82.0,95.0
360290002003004,18.0,41.0,45.0,82.0,96.0
360290002003005,18.0,41.0,45.0,82.0,96.0
360290002004000,19.0,41.0,45.0,83.0,95.0
360290002004001,19.0,41.0,45.0,83.0,95.0
360290002004002,19.0,41.0,45.0,83.0,95.0
360290002004003,19.0,41.0,45.0,83.0,95.0
360290002004004,19.0,41.0,45.0,83.0,95.0
360290002004005,18.0,41.0,45.0,83.0,95.0
360290002004006,18.0,41.0,45.0,83.0,95.0
360290002004007,18.0,41.0,45.0,82.0,95.0
360290002004008,18.0,41.0,45.0,83.0,95.0
360290002004009,18.0,41.0,45.0,82.0,95.0
360290002004010,18.0,41.0,45.0,83.0,95.0
360290005001000,19.0,38.0,45.0,82.0,95.0
360290005001001,19.0,38.0,45.0,82.0,95.0
360290005001002,19.0,38.0,45.0,82.0,95.0
360290005001003,19.0,38.0,45.0,82.0,95.0
360290005001004,19.0,38.0,45.0,82.0,95.0
360290005001005,19.0,38.0,45.0,82.0,95.0
360290005001006,19.0,38.0,45.0,72.0,95.0
360290005001007,19.0,38.0,45.0,82.0,95.0
360290005001008,19.0,38.0,45.0,72.0,95.0
360290005001009,19.0,38.0,45.0,72.0,95.0
360290005001010,19.0,38.0,45.0,82.0,95.0
360290005001011,19.0,38.0,45.0,82.0,96.0
360290005001012,19.0,38.0,58.0,72.0,96.0
360290005001013,19.0,38.0,58.0,72.0,96.0
360290005001014,19.0,38.0,58.0,72.0,95.0
360290005001015,19.0,38.0,45.0,82.0,95.0
360290005001016,19.0,38.0,45.0,82.0,95.0
360290005001017,19.0,38.0,45.0,82.0,95.0
360290005001018,19.0,38.0,45.0,82.0,95.0
360290005001019,19.0,38.0,45.0,82.0,95.0
360290005001020,19.0,38.0,45.0,82.0,95.0
360290005001021,19.0,38.0,45.0,82.0,95.0
360290005001022,19.0,38.0,45.0,82.0,95.0
360290005001023,19.0,38.0,45.0,82.0,95.0
360290005001024,19.0,38.0,58.0,72.0,96.0
360290005001025,19.0,38.0,58.0,82.0,96.0
360290005001026,19.0,38.0,58.0,72.0,96.0
360290005001027,19.0,39.0,58.0,72.0,96.0
360290005001028,19.0,39.0,58.0,72.0,96.0
360290005001032,19.0,39.0,58.0,72.0,96.0
360290005001038,19.0,39.0,58.0,72.0,96.0
360290005001039,19.0,39.0,58.0,82.0,96.0
