GEOID20,District0,District1,District2,District3,District4
360290001101000,1.0,3.0,4.0,6.0,9.0
360290001101001,1.0,3.0,4.0,6.0,9.0
360290001101002,1.0,3.0,4.0,6.0,9.0
360290001101003,1.0,3.0,4.0,6.0,9.0
360290001101004,1.0,3.0,4.0,6.0,9.0
360290001101005,1.0,3.0,4.0,6.0,9.0
360290001101006,1.0,3.0,4.0,6.0,9.0
360290001102000,1.0,3.0,4.0,6.0,9.0
360290001102001,1.0,3.0,4.0,6.0,9.0
360290001102002,1.0,3.0,4.0,6.0,9.0
360290001102003,1.0,3.0,4.0,6.0,9.0
360290001102004,1.0,3.0,4.0,6.0,9.0
360290001102005,1.0,3.0,4.0,6.0,9.0
360290001103000,1.0,3.0,4.0,6.0,9.0
360290001103001,1.0,3.0,4.0,6.0,9.0
360290001103002,1.0,3.0,4.0,6.0,9.0
360290001103003,1.0,3.0,4.0,6.0,9.0
360290001103004,1.0,3.0,4.0,6.0,9.0
360290001103005,1.0,3.0,4.0,6.0,9.0
360290001103006,1.0,3.0,4.0,6.0,9.0
360290001103007,1.0,3.0,4.0,6.0,9.0
360290001103008,1.0,3.0,4.0,6.0,9.0
360290001103009,1.0,3.0,4.0,6.0,9.0
360290001103010,1.0,3.0,4.0,6.0,9.0
360290001103011,1.0,3.0,4.0,6.0,9.0
360290001103012,1.0,3.0,4.0,6.0,9.0
360290001103013,1.0,3.0,4.0,6.0,9.0
360290001103017,1.0,3.0,4.0,6.0,9.0
360290001103019,1.0,3.0,4.0,6.0,9.0
360290001103020,1.0,3.0,4.0,6.0,9.0
360290001103021,1.0,3.0,4.0,6.0,9.0
360290001103022,1.0,3.0,4.0,6.0,9.0
360290001103023,1.0,3.0,4.0,6.0,9.0
360290001103024,1.0,3.0,4.0,6.0,9.0
360290001103025,1.0,3.0,4.0,6.0,9.0
360290001103026,1.0,3.0,4.0,6.0,9.0
360290001103027,1.0,3.0,4.0,6.0,9.0
360290001103028,1.0,3.0,4.0,6.0,9.0
360290001103029,1.0,3.0,4.0,6.0,9.0
360290001103030,1.0,3.0,4.0,6.0,9.0
360290001103031,1.0,3.0,4.0,6.0,9.0
360290001103032,1.0,3.0,4.0,6.0,9.0
360290001103033,1.0,3.0,4.0,6.0,9.0
360290001103034,1.0,3.0,4.0,6.0,9.0
360290001103035,1.0,3.0,4.0,6.0,9.0
360290001103036,1.0,3.0,4.0,6.0,9.0
360290001103037,1.0,3.0,4.0,6.0,9.0
360290001103038,1.0,3.0,4.0,6.0,9.0
360290001103039,1.0,3.0,4.0,6.0,9.0
360290001103040,1.0,3.0,4.0,6.0,9.0
360290001103041,1.0,3.0,4.0,6.0,9.0
360290001103042,1.0,3.0,4.0,6.0,9.0
360290001103043,1.0,3.0,4.0,6.0,9.0
360290001103044,1.0,3.0,4.0,6.0,9.0
360290001103045,1.0,3.0,4.0,6.0,9.0
360290001103046,1.0,3.0,4.0,6.0,9.0
360290001103047,1.0,3.0,4.0,6.0,9.0
360290001103048,1.0,3.0,4.0,6.0,9.0
360290001103049,1.0,3.0,4.0,6.0,9.0
360290001103050,1.0,3.0,4.0,6.0,9.0
360290001103051,1.0,3.0,4.0,6.0,9.0
360290001103052,1.0,3.0,4.0,6.0,9.0
360290001103053,1.0,3.0,4.0,6.0,9.0
360290001103054,1.0,3.0,4.0,6.0,9.0
360290001103055,1.0,3.0,4.0,6.0,9.0
360290001103056,1.0,3.0,4.0,6.0,9.0
360290001103057,1.0,3.0,4.0,6.0,9.0
360290002001000,1.0,3.0,4.0,6.0,9.0
360290002001001,1.0,3.0,4.0,6.0,9.0
360290002001002,1.0,3.0,4.0,6.0,9.0
360290002001003,1.0,3.0,4.0,6.0,9.0
360290002001004,1.0,3.0,4.0,6.0,9.0
360290002001005,1.0,3.0,4.0,6.0,9.0
360290002001006,1.0,3.0,4.0,6.0,9.0
360290002001007,1.0,3.0,4.0,6.0,9.0
360290002001008,1.0,3.0,4.0,6.0,9.0
360290002001009,1.0,3.0,4.0,6.0,9.0
360290002001010,1.0,3.0,4.0,6.0,9.0
360290002001011,1.0,3.0,4.0,6.0,9.0
360290002001012,1.0,3.0,4.0,6.0,9.0
360290002001013,1.0,3.0,4.0,6.0,9.0
360290002002000,1.0,3.0,4.0,6.0,9.0
360290002002001,1.0,3.0,4.0,6.0,9.0
360290002002002,1.0,3.0,4.0,6.0,9.0
360290002002003,1.0,3.0,4.0,6.0,9.0
360290002002004,1.0,3.0,4.0,6.0,9.0
360290002002005,1.0,3.0,4.0,6.0,9.0
360290002003000,1.0,3.0,4.0,6.0,9.0
360290002003001,1.0,3.0,4.0,6.0,9.0
360290002003002,1.0,3.0,4.0,6.0,9.0
360290002003003,1.0,3.0,4.0,6.0,9.0
360290002003004,1.0,3.0,4.0,6.0,9.0
360290002003005,1.0,3.0,4.0,6.0,9.0
360290002004000,1.0,3.0,4.0,6.0,9.0
360290002004001,1.0,3.0,4.0,6.0,9.0
360290002004002,1.0,3.0,4.0,6.0,9.0
360290002004003,1.0,3.0,4.0,6.0,9.0
360290002004004,1.0,3.0,4.0,6.0,9.0
360290002004005,1.0,3.0,4.0,6.0,9.0
360290002004006,1.0,3.0,4.0,6.0,9.0
360290002004007,1.0,3.0,4.0,6.0,9.0
360290002004008,1.0,3.0,4.0,6.0,9.0
360290002004009,1.0,3.0,4.0,6.0,9.0
360290002004010,1.0,3.0,4.0,6.0,9.0
360290005001000,1.0,3.0,4.0,6.0,9.0
360290005001001,1.0,3.0,4.0,6.0,9.0
360290005001002,1.0,3.0,4.0,6.0,9.0
360290005001003,1.0,3.0,4.0,6.0,9.0
360290005001004,1.0,3.0,4.0,6.0,9.0
360290005001005,1.0,3.0,4.0,6.0,9.0
360290005001006,1.0,3.0,4.0,6.0,9.0
360290005001007,1.0,3.0,4.0,6.0,9.0
360290005001008,1.0,3.0,4.0,6.0,9.0
360290005001009,1.0,3.0,4.0,6.0,9.0
360290005001010,1.0,3.0,4.0,6.0,9.0
360290005001011,1.0,3.0,4.0,6.0,9.0
360290005001012,1.0,3.0,4.0,6.0,9.0
360290005001013,1.0,3.0,4.0,6.0,9.0
360290005001014,1.0,3.0,4.0,6.0,9.0
360290005001015,1.0,3.0,4.0,6.0,9.0
360290005001016,1.0,3.0,4.0,6.0,9.0
360290005001017,1.0,3.0,4.0,6.0,9.0
360290005001018,1.0,3.0,4.0,6.0,9.0
360290005001019,1.0,3.0,4.0,6.0,9.0
360290005001020,1.0,3.0,4.0,6.0,9.0
360290005001021,1.0,3.0,4.0,6.0,9.0
360290005001022,1.0,3.0,4.0,6.0,9.0
360290005001023,1.0,3.0,4.0,6.0,9.0
360290005001024,1.0,3.0,4.0,6.0,9.0
360290005001025,1.0,3.0,4.0,6.0,9.0
360290005001026,1.0,3.0,4.0,6.0,9.0
360290005001027,1.0,3.0,4.0,6.0,9.0
360290005001028,1.0,3.0,4.0,6.0,9.0
360290005001032,1.0,3.0,4.0,6.0,9.0
360290005001038,1.0,3.0,4.0,6.0,9.0
360290005001039,1.0,3.0,4.0,6.0,9.0
360290005001040,1.0,3.0,4.0,6.0,9.0
360290005001041,1.0,3.0,4.0,6.0,9.0
360290005001042,1.0,3.0,4.0,6.0,9.0
360290005001043,1.0,3.0,4.0,6.0,9.0
360290005001044,1.0,3.0,4.0,6.0,9.0
360290005001045,1.0,3.0,4.0,6.0,9.0
360290005001046,1.0,3.0,4.0,6.0,9.0
360290005001047,1.0,3.0,4.0,6.0,9.0
360290005001048,1.0,3.0,4.0,6.0,9.0
360290005001049,1.0,3.0,4.0,6.0,9.0
360290005001050,1.0,3.0,4.0,6.0,9.0
360290005001051,1.0,3.0,4.0,6.0,9.0
360290005001052,1.0,3.0,4.0,6.0,9.0
360290005001053,1.0,3.0,4.0,6.0,9.0
360290005001054,1.0,3.0,4.0,6.0,9.0
360290005001055,1.0,3.0,4.0,6.0,9.0
360290005001056,1.0,3.0,4.0,6.0,9.0
360290005001057,1.0,3.0,4.0,6.0,9.0
360290005002000,1.0,3.0,4.0,6.0,9.0
360290005002001,1.0,3.0,4.0,6.0,9.0
360290005002002,1.0,3.0,4.0,6.0,9.0
360290005002003,1.0,3.0,4.0,6.0,9.0
360290005002004,1.0,3.0,4.0,6.0,9.0
360290005002005,1.0,3.0,4.0,6.0,9.0
360290005002006,1.0,3.0,4.0,6.0,9.0
360290005002007,1.0,3.0,4.0,6.0,9.0
360290005002008,1.0,3.0,4.0,6.0,9.0
360290005002009,1.0,3.0,4.0,6.0,9.0
360290005002010,1.0,3.0,4.0,6.0,9.0
360290005002011,1.0,3.0,4.0,6.0,9.0
360290005002012,1.0,3.0,4.0,6.0,9.0
360290005002013,1.0,3.0,4.0,6.0,9.0
360290005002014,1.0,3.0,4.0,6.0,9.0
360290005002015,1.0,3.0,4.0,6.0,9.0
360290005002016,1.0,3.0,4.0,6.0,9.0
360290005002017,1.0,3.0,4.0,6.0,9.0
360290005002018,1.0,3.0,4.0,6.0,9.0
360290005002019,1.0,3.0,4.0,6.0,9.0
360290006001000,1.0,3.0,4.0,6.0,9.0
360290006001001,1.0,3.0,4.0,6.0,9.0
360290006001002,1.0,3.0,4.0,6.0,9.0
360290006001003,1.0,3.0,4.0,6.0,9.0
360290006001004,1.0,3.0,4.0,6.0,9.0
360290006001005,1.0,3.0,4.0,6.0,9.0
360290006002000,1.0,3.0,4.0,6.0,9.0
360290006002001,1.0,3.0,4.0,6.0,9.0
360290006002002,1.0,3.0,4.0,6.0,9.0
360290006002003,1.0,3.0,4.0,6.0,9.0
360290006002004,1.0,3.0,4.0,6.0,9.0
360290006002005,1.0,3.0,4.0,6.0,9.0
360290006003000,1.0,3.0,4.0,6.0,9.0
360290006003001,1.0,3.0,4.0,6.0,9.0
360290006003002,1.0,3.0,4.0,6.0,9.0
360290006003003,1.0,3.0,4.0,6.0,9.0
360290006003004,1.0,3.0,4.0,6.0,9.0
360290006003005,1.0,3.0,4.0,6.0,9.0
360290006004000,1.0,3.0,4.0,6.0,9.0
360290006004001,1.0,3.0,4.0,6.0,9.0
360290006004002,1.0,3.0,4.0,6.0,9.0
360290006004003,1.0,3.0,4.0,6.0,9.0
360290006004004,1.0,3.0,4.0,6.0,9.0
360290006004005,1.0,3.0,4.0,6.0,9.0
360290006004006,1.0,3.0,4.0,6.0,9.0
360290007001000,1.0,3.0,4.0,6.0,9.0
360290007001001,1.0,3.0,4.0,6.0,9.0
360290007001002,1.0,3.0,4.0,6.0,9.0
360290007001003,1.0,3.0,4.0,6.0,9.0
360290007001004,1.0,3.0,4.0,6.0,9.0
360290007001005,1.0,3.0,4.0,6.0,9.0
360290007002000,1.0,3.0,4.0,6.0,9.0
360290007002001,1.0,3.0,4.0,6.0,9.0
360290007002002,1.0,3.0,4.0,6.0,9.0
360290007002003,1.0,3.0,4.0,6.0,9.0
360290007002004,1.0,3.0,4.0,6.0,9.0
360290007002005,1.0,3.0,4.0,6.0,9.0
360290007003000,1.0,3.0,4.0,6.0,9.0
360290007003001,1.0,3.0,4.0,6.0,9.0
360290007003002,1.0,3.0,4.0,6.0,9.0
360290007003003,1.0,3.0,4.0,6.0,9.0
360290007003004,1.0,3.0,4.0,6.0,9.0
360290007003005,1.0,3.0,4.0,6.0,9.0
360290007003006,1.0,3.0,4.0,6.0,9.0
360290007004000,1.0,3.0,4.0,6.0,9.0
360290007004001,1.0,3.0,4.0,6.0,9.0
360290007004002,1.0,3.0,4.0,6.0,9.0
360290007004003,1.0,3.0,4.0,6.0,9.0
360290007004004,1.0,3.0,4.0,6.0,9.0
