GEOID20,District0,District1,District2,District3,District4
360290001101000,5.0,41.0,64.0,80.0,86.0
360290001101001,5.0,41.0,64.0,80.0,86.0
360290001101002,5.0,41.0,64.0,80.0,86.0
360290001101003,5.0,41.0,64.0,80.0,86.0
360290001101004,5.0,41.0,64.0,80.0,86.0
360290001101005,5.0,41.0,64.0,80.0,86.0
360290001101006,0.0,41.0,64.0,80.0,86.0
360290001102000,5.0,41.0,64.0,80.0,86.0
360290001102001,5.0,41.0,64.0,80.0,86.0
360290001102002,5.0,41.0,64.0,80.0,86.0
360290001102003,5.0,41.0,64.0,80.0,86.0
360290001102004,5.0,41.0,64.0,80.0,86.0
360290001102005,5.0,41.0,64.0,80.0,86.0
360290001103000,5.0,41.0,64.0,80.0,101.0
360290001103001,5.0,41.0,64.0,80.0,101.0
360290001103002,5.0,41.0,64.0,80.0,101.0
360290001103003,0.0,41.0,64.0,80.0,102.0
360290001103004,5.0,41.0,64.0,80.0,101.0
360290001103005,5.0,41.0,64.0,80.0,101.0
360290001103006,5.0,41.0,64.0,80.0,101.0
360290001103007,0.0,41.0,64.0,80.0,86.0
360290001103008,0.0,41.0,64.0,80.0,86.0
360290001103009,0.0,41.0,64.0,80.0,86.0
360290001103010,0.0,41.0,64.0,80.0,86.0
360290001103011,0.0,41.0,64.0,80.0,86.0
360290001103012,0.0,41.0,64.0,80.0,86.0
360290001103013,0.0,41.0,64.0,80.0,86.0
360290001103017,0.0,41.0,64.0,80.0,86.0
360290001103019,0.0,41.0,64.0,80.0,86.0
360290001103020,0.0,41.0,64.0,80.0,86.0
360290001103021,0.0,41.0,64.0,80.0,86.0
360290001103022,0.0,41.0,64.0,80.0,86.0
360290001103023,0.0,41.0,64.0,80.0,86.0
360290001103024,0.0,41.0,64.0,80.0,86.0
360290001103025,0.0,41.0,64.0,80.0,86.0
360290001103026,0.0,41.0,64.0,80.0,86.0
360290001103027,0.0,41.0,64.0,80.0,86.0
360290001103028,5.0,41.0,64.0,80.0,86.0
360290001103029,5.0,41.0,64.0,80.0,101.0
360290001103030,5.0,41.0,64.0,80.0,101.0
360290001103031,5.0,41.0,64.0,80.0,101.0
360290001103032,5.0,41.0,64.0,80.0,101.0
360290001103033,5.0,41.0,64.0,80.0,101.0
360290001103034,5.0,41.0,64.0,80.0,101.0
360290001103035,5.0,41.0,64.0,80.0,101.0
360290001103036,5.0,41.0,64.0,80.0,101.0
360290001103037,0.0,41.0,64.0,80.0,86.0
360290001103038,0.0,41.0,64.0,80.0,86.0
360290001103039,0.0,41.0,64.0,80.0,86.0
360290001103040,0.0,41.0,64.0,80.0,86.0
360290001103041,0.0,41.0,64.0,80.0,86.0
360290001103042,0.0,41.0,64.0,80.0,86.0
360290001103043,0.0,41.0,64.0,80.0,86.0
360290001103044,0.0,41.0,64.0,80.0,86.0
360290001103045,0.0,41.0,64.0,80.0,86.0
360290001103046,0.0,41.0,64.0,80.0,86.0
360290001103047,0.0,41.0,64.0,80.0,86.0
360290001103048,0.0,41.0,64.0,80.0,86.0
360290001103049,0.0,41.0,64.0,80.0,86.0
360290001103050,0.0,41.0,64.0,80.0,86.0
360290001103051,0.0,41.0,64.0,80.0,86.0
360290001103052,0.0,41.0,64.0,80.0,86.0
360290001103053,0.0,41.0,64.0,80.0,86.0
360290001103054,0.0,41.0,64.0,80.0,86.0
360290001103055,0.0,41.0,64.0,80.0,86.0
360290001103056,0.0,41.0,64.0,80.0,86.0
360290001103057,0.0,41.0,64.0,80.0,102.0
360290002001000,5.0,41.0,64.0,85.0,101.0
360290002001001,5.0,41.0,64.0,80.0,101.0
360290002001002,5.0,41.0,64.0,80.0,101.0
360290002001003,5.0,41.0,64.0,85.0,101.0
360290002001004,5.0,41.0,64.0,85.0,101.0
360290002001005,5.0,41.0,64.0,85.0,101.0
360290002001006,5.0,41.0,64.0,85.0,101.0
360290002001007,5.0,41.0,64.0,85.0,101.0
360290002001008,5.0,41.0,64.0,80.0,101.0
360290002001009,5.0,41.0,64.0,85.0,101.0
360290002001010,5.0,41.0,64.0,85.0,101.0
360290002001011,5.0,41.0,64.0,85.0,101.0
360290002001012,5.0,41.0,64.0,80.0,101.0
360290002001013,5.0,41.0,64.0,85.0,101.0
360290002002000,5.0,41.0,64.0,80.0,101.0
360290002002001,5.0,41.0,64.0,80.0,101.0
360290002002002,5.0,41.0,64.0,80.0,101.0
360290002002003,5.0,41.0,64.0,80.0,101.0
360290002002004,5.0,41.0,64.0,80.0,101.0
360290002002005,5.0,41.0,64.0,80.0,101.0
360290002003000,5.0,41.0,64.0,80.0,86.0
360290002003001,5.0,41.0,64.0,80.0,86.0
360290002003002,5.0,41.0,64.0,80.0,101.0
360290002003003,5.0,41.0,64.0,80.0,86.0
360290002003004,5.0,41.0,64.0,80.0,86.0
360290002003005,5.0,41.0,64.0,80.0,86.0
360290002004000,5.0,41.0,64.0,80.0,101.0
360290002004001,5.0,41.0,64.0,80.0,101.0
360290002004002,5.0,41.0,64.0,80.0,101.0
360290002004003,5.0,41.0,64.0,80.0,101.0
360290002004004,5.0,41.0,64.0,80.0,101.0
360290002004005,5.0,41.0,64.0,80.0,101.0
360290002004006,5.0,41.0,64.0,80.0,101.0
360290002004007,5.0,41.0,64.0,80.0,101.0
360290002004008,5.0,41.0,64.0,80.0,101.0
360290002004009,5.0,41.0,64.0,80.0,101.0
360290002004010,5.0,41.0,64.0,80.0,101.0
360290005001000,0.0,41.0,64.0,80.0,102.0
360290005001001,0.0,41.0,64.0,80.0,102.0
