GEOID,District0,District1
01033020705,542.0,2985.0
01033020706,542.0,2985.0
01033020801,542.0,2985.0
01033020802,542.0,2985.0
01033020901,542.0,2985.0
01033020902,542.0,2985.0
01033021000,542.0,2985.0
01035960200,2440.0,6020.0
01035960300,2440.0,6020.0
01035960400,2440.0,6020.0
01035960500,2440.0,6020.0
01035960600,2440.0,6020.0
01037961000,1871.0,2648.0
01037961100,1871.0,2648.0
01037961200,1871.0,2648.0
01039961600,2439.0,6020.0
01039961700,2439.0,6020.0
01039961800,2439.0,6020.0
01039961900,2439.0,6020.0
01039962000,2439.0,6020.0
01039962100,2439.0,6020.0
01039962300,2439.0,6020.0
01039962400,2439.0,6020.0
01039962500,2439.0,6020.0
01039962600,2439.0,6020.0
01039962700,2439.0,6020.0
01039962800,2439.0,6020.0
01039962900,2439.0,6020.0
01039963000,2439.0,6020.0
01041963400,2439.0,6020.0
01041963500,2439.0,6020.0
01041963600,2439.0,6020.0
01041963700,2439.0,6020.0
01041963800,2439.0,6020.0
01041963900,2439.0,6020.0
01043964100,541.0,2986.0
01043964201,541.0,2986.0
01043964202,541.0,2986.0
01043964300,541.0,2986.0
01043964400,541.0,2986.0
01043964500,542.0,2986.0
01043964600,542.0,2986.0
01043964700,541.0,2986.0
01043964800,541.0,2986.0
01043964901,542.0,2986.0
01043964902,541.0,2986.0
01043965001,542.0,2986.0
01043965002,542.0,2986.0
01043965100,542.0,2986.0
01043965200,542.0,2986.0
01043965300,542.0,2986.0
01043965401,542.0,2986.0
01043965402,542.0,2986.0
01043965501,542.0,2986.0
01043965502,542.0,2986.0
01043965600,542.0,2986.0
01043965700,542.0,2986.0
01045020000,2439.0,6020.0
01045020100,2439.0,6020.0
01045020200,2439.0,6020.0
01045020300,2439.0,6020.0
01045020400,2439.0,6020.0
01045020500,2439.0,6020.0
01045020700,2439.0,6020.0
01045020801,2439.0,6020.0
01045020802,2439.0,6020.0
01045021101,2439.0,6020.0
01045021102,2439.0,6020.0
01045021200,2439.0,6020.0
01045021300,2439.0,6020.0
01045021400,2439.0,6020.0
01047956101,1871.0,6019.0
01047956102,1871.0,6019.0
01047956201,1871.0,6019.0
01047956202,1871.0,6019.0
01047956300,1871.0,6019.0
01047956400,1871.0,6019.0
01047956500,1871.0,6019.0
01047956600,1871.0,6019.0
01047956701,1871.0,6019.0
01047956702,1871.0,6019.0
01047956800,1871.0,6019.0
01047956900,1871.0,6019.0
01047957000,1871.0,6019.0
01047957100,1871.0,6019.0
01047957200,1871.0,6019.0
01047957301,1871.0,6019.0
01047957302,1871.0,6019.0
01049960101,14.0,2470.0
01049960102,14.0,2470.0
01049960200,14.0,2470.0
01049960301,14.0,2470.0
01049960302,14.0,2470.0
01049960303,14.0,2470.0
01049960401,14.0,2470.0
01049960402,14.0,2470.0
01049960500,14.0,2470.0
01049960601,14.0,2470.0
01049960602,14.0,2470.0
01049960701,14.0,2470.0
01049960702,14.0,2470.0
01049960703,14.0,2470.0
01049960800,14.0,2470.0
01049960900,14.0,2470.0
01049961000,14.0,2470.0
01049961100,14.0,2470.0
01049961200,14.0,2470.0
01049961300,14.0,2470.0
01049961400,14.0,2470.0
01051030101,2440.0,6019.0
01051030102,2440.0,6019.0
01051030103,2440.0,6019.0
01051030200,2440.0,6019.0
01051030300,2440.0,2648.0
01051030401,2440.0,6019.0
01051030402,2440.0,2648.0
01051030500,2440.0,2648.0
01051030600,2440.0,6019.0
01051030701,2440.0,6019.0
01051030702,2440.0,6019.0
01051030801,2440.0,6019.0
01051030802,2440.0,6019.0
01051030901,2440.0,6019.0
01051030902,2440.0,6019.0
01051031001,2440.0,6020.0
01051031002,2440.0,6020.0
01051031100,2440.0,6019.0
01051031200,2440.0,6019.0
01051031300,2440.0,6020.0
01053969801,2439.0,6020.0
01053969802,2439.0,5982.0
01053969900,2439.0,5982.0
01053970100,2439.0,5982.0
01053970200,2439.0,5982.0
01053970300,2439.0,5982.0
01053970400,2440.0,5982.0
01053970500,2439.0,5982.0
01053970600,2439.0,5982.0
01053970700,2439.0,5982.0
01055000200,541.0,2470.0
01055000300,14.0,2470.0
01055000400,541.0,2470.0
01055000500,541.0,2470.0
01055000600,541.0,2470.0
01055000700,14.0,2470.0
01055000800,14.0,2470.0
01055000900,541.0,2470.0
01055001000,14.0,2470.0
01055001100,541.0,2470.0
01055001200,541.0,2470.0
01055001300,541.0,2470.0
01055001600,541.0,2470.0
01055001700,14.0,2470.0
01055010100,541.0,2470.0
01055010201,541.0,2470.0
01055010202,541.0,2470.0
01055010300,541.0,2470.0
01055010401,541.0,2470.0
01055010402,541.0,2470.0
01055010503,541.0,2470.0
01055010504,541.0,2470.0
01055010505,541.0,2470.0
01055010506,541.0,2470.0
01055010601,14.0,2470.0
01055010602,14.0,2470.0
01055010700,14.0,2470.0
01055010800,14.0,2470.0
01055010900,14.0,2470.0
01055011001,14.0,2470.0
01055011002,541.0,2470.0
01055011100,541.0,2470.0
01055011200,541.0,2470.0
01057020000,95.0,2648.0
01057020100,95.0,2648.0
01057020200,95.0,2648.0
01057020300,95.0,2648.0
01057020400,95.0,2648.0
01059972900,542.0,2985.0
01059973000,542.0,2985.0
01059973100,542.0,2985.0
01059973200,542.0,2985.0
01059973300,542.0,2985.0
01059973400,542.0,2985.0
01059973500,542.0,2985.0
01059973600,542.0,2985.0
01059973701,542.0,2985.0
01059973702,542.0,2985.0
01059973703,542.0,2985.0
01061050100,2439.0,6020.0
01061050200,2439.0,6020.0
01061050300,2439.0,6020.0
01061050400,2439.0,6020.0
01061050500,2439.0,6020.0
01061050600,2439.0,6020.0
01063060000,1871.0,6019.0
01063060101,1871.0,6019.0
01063060102,1871.0,6019.0
01063060200,1871.0,6019.0
01065040000,1871.0,6019.0
01065040100,1871.0,6019.0
01065040200,1871.0,6019.0
01065040300,1871.0,6019.0
01065040401,1871.0,6019.0
01065040402,1871.0,6019.0
01065040500,1871.0,6019.0
01067030100,2439.0,6020.0
01067030200,2439.0,6020.0
01067030300,2439.0,6020.0
01067030400,2439.0,6020.0
01067030500,2439.0,6020.0
01067030600,2439.0,6020.0
01069040100,2439.0,6020.0
01069040203,2439.0,6020.0
01069040204,2439.0,6020.0
01069040205,2439.0,6020.0
01069040206,2439.0,6020.0
01069040301,2439.0,6020.0
01069040302,2439.0,6020.0
01069040400,2439.0,6020.0
01069040500,2439.0,6020.0
01069040600,2439.0,6020.0
01069040700,2439.0,6020.0
01069040801,2439.0,6020.0
01069040802,2439.0,6020.0
01069040900,2439.0,6020.0
01069041000,2439.0,6020.0
01069041100,2439.0,6020.0
01069041200,2439.0,6020.0
01069041400,2439.0,6020.0
01069041500,2439.0,6020.0
01069041600,2439.0,6020.0
01069041700,2439.0,6020.0
01069041800,2439.0,6020.0
01069041901,2439.0,6020.0
01069041902,2439.0,6020.0
01069042000,2439.0,6020.0
01069042100,2439.0,6020.0
01071950101,14.0,2470.0
01071950102,14.0,2470.0
01071950200,14.0,2470.0
01071950301,14.0,2470.0
01071950302,14.0,2470.0
01071950400,14.0,2470.0
01071950500,14.0,2470.0
01071950601,14.0,2470.0
01071950602,14.0,2470.0
01071950700,14.0,2470.0
01071950800,14.0,2470.0
01071950901,14.0,2470.0
01071950902,14.0,2470.0
01071951000,14.0,2470.0
01071951101,14.0,2470.0
01071951102,14.0,2470.0
01073000100,542.0,2985.0
01073000300,542.0,2985.0
01073000400,542.0,2985.0
01073000500,542.0,2985.0
01073000700,542.0,2985.0
01073000800,95.0,2985.0
01073001100,95.0,2648.0
01073001200,95.0,2648.0
01073001400,95.0,2648.0
01073001500,95.0,2985.0
01073001600,542.0,2985.0
01073001902,542.0,2985.0
01073002000,542.0,2985.0
01073002100,542.0,2985.0
01073002200,542.0,2985.0
01073002303,542.0,2985.0
01073002305,542.0,2985.0
01073002306,542.0,2985.0
01073002401,542.0,2985.0
01073002402,542.0,2985.0
01073002701,95.0,2648.0
01073002702,95.0,2985.0
01073002900,95.0,2648.0
01073003001,95.0,2648.0
01073003002,95.0,2648.0
01073003100,95.0,2648.0
01073003200,95.0,2648.0
01073003300,95.0,2648.0
01073003400,95.0,2648.0
01073003500,95.0,2648.0
01073003600,95.0,2648.0
01073003700,95.0,2648.0
01073003802,95.0,2648.0
01073003803,95.0,2648.0
01073003900,95.0,2648.0
01073004000,95.0,2648.0
01073004200,95.0,2648.0
01073004501,95.0,2648.0
01073004502,95.0,2985.0
01073004701,542.0,2985.0
01073004702,542.0,2985.0
01073004800,542.0,2985.0
01073004901,95.0,2648.0
01073004902,95.0,2648.0
01073005000,95.0,2648.0
01073005101,95.0,2648.0
01073005103,95.0,2648.0
01073005104,95.0,2648.0
01073005200,95.0,2648.0
01073005302,542.0,2985.0
01073005500,542.0,2985.0
01073005600,542.0,2985.0
01073005701,95.0,2648.0
01073005702,95.0,2648.0
01073005800,95.0,2648.0
01073005903,542.0,2985.0
01073005905,542.0,2985.0
01073005907,542.0,2985.0
01073005908,542.0,2985.0
01073005909,542.0,2985.0
01073005910,542.0,2985.0
01073010001,95.0,2648.0
01073010002,95.0,2648.0
01073010100,95.0,2648.0
01073010200,95.0,2648.0
01073010301,95.0,2648.0
01073010302,95.0,2648.0
01073010401,95.0,2648.0
01073010402,95.0,2648.0
01073010500,95.0,2648.0
01073010603,95.0,2648.0
01073010604,95.0,2648.0
01073010605,95.0,2648.0
01073010701,95.0,2648.0
01073010702,95.0,2648.0
01073010703,542.0,2648.0
01073010704,95.0,2648.0
01073010705,95.0,2648.0
01073010706,95.0,2648.0
01073010801,542.0,2985.0
01073010802,542.0,2648.0
01073010803,542.0,2985.0
01073010804,542.0,2985.0
01073010806,542.0,2985.0
01073010807,542.0,2985.0
01073010900,542.0,2985.0
01073011002,542.0,2985.0
01073011003,542.0,2985.0
01073011004,542.0,2985.0
01073011108,542.0,2985.0
01073011109,542.0,2985.0
01073011110,542.0,2985.0
01073011112,542.0,2985.0
01073011113,542.0,2985.0
01073011114,542.0,2985.0
01073011115,542.0,2985.0
01073011116,542.0,2985.0
01073011117,542.0,2985.0
01073011205,542.0,2985.0
01073011206,542.0,2985.0
01073011207,542.0,2985.0
01073011208,542.0,2985.0
01073011209,542.0,2985.0
01073011210,542.0,2985.0
01073011301,542.0,2985.0
01073011303,542.0,2985.0
01073011304,542.0,2985.0
01073011401,542.0,2985.0
01073011402,542.0,2985.0
01073011500,95.0,2985.0
01073011600,95.0,2985.0
01073011704,542.0,2985.0
01073011706,542.0,2985.0
01073011707,542.0,2985.0
01073011708,542.0,2985.0
01073011709,542.0,2985.0
01073011710,542.0,2985.0
01073011803,542.0,2985.0
01073011804,542.0,2985.0
01073011805,542.0,2985.0
01073011806,542.0,2985.0
01073011901,542.0,2985.0
01073011904,542.0,2985.0
01073012001,95.0,2985.0
01073012003,542.0,2985.0
01073012004,542.0,2985.0
01073012103,95.0,2985.0
01073012104,95.0,2648.0
01073012200,95.0,2648.0
01073012302,95.0,2648.0
01073012304,95.0,2648.0
01073012306,95.0,2648.0
01073012307,95.0,2648.0
01073012401,95.0,2985.0
01073012402,95.0,2648.0
01073012403,95.0,2648.0
01073012500,95.0,2648.0
01073012602,542.0,2985.0
01073012701,542.0,2985.0
01073012703,542.0,2985.0
01073012704,542.0,2985.0
01073012802,542.0,2648.0
01073012804,542.0,2985.0
01073012805,542.0,2648.0
01073012905,542.0,2648.0
01073012907,542.0,2648.0
01073012908,95.0,2648.0
01073012910,542.0,2648.0
01073012911,542.0,2648.0
01073012913,95.0,2648.0
01073012914,95.0,2648.0
01073012916,95.0,2648.0
01073012917,542.0,2648.0
01073012918,95.0,2648.0
01073012919,95.0,2648.0
01073012920,95.0,2648.0
01073012921,95.0,2648.0
01073013002,95.0,2648.0
01073013100,95.0,2648.0
01073013200,95.0,2648.0
01073013300,95.0,2648.0
01073013400,95.0,2648.0
01073013601,95.0,2648.0
01073013801,95.0,2648.0
01073013901,95.0,2648.0
01073013902,95.0,2648.0
01073014001,95.0,2648.0
01073014002,95.0,2648.0
01073014104,95.0,2648.0
01073014105,95.0,2648.0
01073014106,95.0,2648.0
01073014107,95.0,2648.0
01073014205,95.0,2648.0
01073014206,95.0,2648.0
01073014207,95.0,2648.0
01073014208,95.0,2648.0
01073014209,95.0,2648.0
01073014301,95.0,2648.0
01073014303,95.0,2648.0
01073014304,95.0,2648.0
01073014404,95.0,2648.0
01073014405,95.0,2648.0
01073014406,95.0,2648.0
01073014408,95.0,2648.0
01073014409,95.0,2648.0
01073014410,95.0,2648.0
01073014412,95.0,2648.0
01073014414,95.0,2648.0
01073014415,95.0,2648.0
01075030000,95.0,2648.0
01075030101,95.0,2648.0
01075030102,95.0,2648.0
01075030200,95.0,2648.0
01077010100,542.0,2985.0
01077010200,542.0,2985.0
01077010300,542.0,2985.0
01077010400,542.0,2985.0
01077010600,542.0,2985.0
01077010700,542.0,2985.0
