GEOID,District0
01001020100,2.0
01001020200,2.0
01001020300,2.0
01001020400,2.0
01001020501,2.0
01001020502,2.0
01001020503,2.0
01001020600,2.0
01001020700,2.0
01001020801,2.0
01001020803,2.0
01001020804,2.0
01001020805,2.0
01001020901,2.0
01001020902,2.0
01001021000,2.0
01001021100,2.0
01003010100,1.0
01003010200,1.0
01003010300,1.0
01003010400,1.0
01003010500,1.0
01003010600,1.0
01003010704,1.0
01003010706,1.0
01003010707,1.0
01003010708,1.0
01003010709,1.0
01003010710,1.0
01003010711,1.0
01003010800,1.0
01003010903,1.0
01003010904,1.0
01003010906,1.0
01003010907,1.0
01003010908,1.0
01003011000,1.0
01003011102,1.0
01003011103,1.0
01003011104,1.0
01003011201,1.0
01003011202,1.0
01003011300,1.0
01003011409,1.0
01003011410,1.0
01003011411,1.0
01003011412,1.0
01003011413,1.0
01003011414,1.0
01003011415,1.0
01003011416,1.0
01003011417,1.0
01003011418,1.0
01003011419,1.0
01003011501,1.0
01003011503,1.0
01003011504,1.0
01003011601,1.0
01003011603,1.0
01003011604,1.0
01005950100,0.0
01005950200,0.0
01005950300,0.0
01005950400,0.0
01005950500,0.0
01005950600,0.0
01005950700,0.0
01005950800,0.0
01005950900,0.0
01007010001,3.0
01007010005,3.0
01007010006,3.0
01007010007,2.0
01007010008,2.0
01007010009,2.0
01007010010,2.0
01007010011,2.0
01009050103,10.0
01009050104,10.0
01009050105,10.0
01009050106,10.0
01009050107,10.0
01009050200,10.0
01009050301,10.0
01009050302,10.0
01009050400,10.0
01009050501,10.0
01009050502,10.0
01009050601,4.0
01009050603,4.0
01009050604,4.0
01009050701,4.0
01009050702,10.0
01011952100,0.0
01011952201,0.0
01011952202,0.0
01011952500,0.0
01013952700,0.0
01013952800,0.0
01013952900,0.0
01013953000,0.0
01013953100,0.0
01013953200,0.0
01013953300,0.0
01013953400,0.0
01013953500,0.0
01015000200,10.0
01015000300,10.0
01015000400,10.0
01015000500,10.0
01015000600,10.0
01015000700,10.0
01015000800,10.0
01015000900,10.0
01015001000,10.0
01015001101,10.0
01015001102,10.0
01015001103,10.0
01015001201,10.0
01015001202,10.0
01015001300,10.0
01015001400,10.0
01015001501,10.0
01015001502,10.0
01015001600,10.0
01015001700,10.0
01015001801,10.0
01015001802,10.0
01015002001,10.0
01015002002,10.0
01015002101,10.0
01015002102,10.0
01015002104,10.0
01015002105,10.0
01015002200,10.0
01015002300,10.0
01015002400,10.0
01015002502,10.0
01015002503,10.0
01015002504,10.0
01015002600,10.0
01015981901,10.0
01015981902,10.0
01015981903,10.0
01017953800,2.0
01017953900,2.0
01017954001,2.0
01017954002,2.0
01017954200,2.0
01017954300,2.0
01017954600,2.0
01017954700,2.0
01017954800,2.0
01019955701,10.0
01019955702,10.0
01019955801,10.0
01019955802,10.0
01019955900,10.0
01019956000,10.0
01019956101,10.0
01019956102,10.0
01021060101,2.0
01021060103,2.0
01021060104,2.0
01021060200,2.0
01021060300,2.0
01021060401,2.0
01021060403,2.0
01021060404,2.0
01021060500,2.0
01021060600,2.0
01021060701,2.0
01021060702,2.0
01023956700,1.0
01023956800,1.0
01023956900,1.0
01023957000,1.0
01025957500,0.0
01025957601,1.0
01025957603,0.0
01025957604,0.0
01025957700,1.0
01025957800,1.0
01025957901,1.0
01025957902,1.0
01025958003,1.0
01027958900,10.0
01027959000,2.0
01027959100,2.0
01027959200,2.0
01029959500,10.0
01029959600,10.0
01029959700,10.0
01029959800,10.0
01031010100,0.0
01031010200,0.0
01031010300,0.0
01031010400,0.0
01031010500,0.0
01031010600,0.0
01031010700,0.0
01031010800,0.0
01031010900,0.0
01031011000,0.0
01031011100,0.0
01031011203,0.0
01031011204,0.0
01031011205,0.0
01031011206,0.0
01031011300,0.0
01033020100,9.0
01033020200,9.0
01033020300,4.0
01033020400,4.0
01033020500,4.0
01033020600,4.0
01033020703,9.0
01033020704,9.0
01033020705,9.0
01033020706,9.0
01033020801,9.0
01033020802,9.0
01033020901,4.0
01033020902,4.0
01033021000,4.0
01035960200,0.0
01035960300,0.0
01035960400,0.0
01035960500,0.0
01035960600,0.0
01037961000,2.0
01037961100,2.0
01037961200,2.0
01039961600,0.0
01039961700,0.0
01039961800,0.0
01039961900,0.0
01039962000,0.0
01039962100,0.0
01039962300,0.0
01039962400,0.0
01039962500,0.0
01039962600,0.0
01039962700,0.0
01039962800,0.0
01039962900,0.0
01039963000,0.0
01041963400,0.0
01041963500,0.0
01041963600,0.0
01041963700,0.0
01041963800,0.0
01041963900,0.0
01043964100,10.0
01043964201,10.0
01043964202,10.0
01043964300,10.0
01043964400,10.0
01043964500,10.0
01043964600,10.0
01043964700,10.0
01043964800,10.0
01043964901,10.0
01043964902,10.0
01043965001,10.0
01043965002,10.0
01043965100,10.0
01043965200,10.0
01043965300,10.0
01043965401,10.0
01043965402,10.0
01043965501,10.0
01043965502,4.0
01043965600,4.0
01043965700,4.0
01045020000,0.0
01045020100,0.0
01045020200,0.0
01045020300,0.0
01045020400,0.0
01045020500,0.0
01045020700,0.0
01045020801,0.0
01045020802,0.0
01045021101,0.0
01045021102,0.0
01045021200,0.0
01045021300,0.0
01045021400,0.0
01047956101,2.0
01047956102,2.0
01047956201,2.0
01047956202,2.0
01047956300,2.0
01047956400,2.0
01047956500,2.0
01047956600,2.0
01047956701,2.0
01047956702,2.0
01047956800,2.0
01047956900,2.0
01047957000,2.0
01047957100,2.0
01047957200,2.0
01047957301,2.0
01047957302,2.0
01049960101,10.0
01049960102,10.0
01049960200,10.0
01049960301,10.0
01049960302,10.0
01049960303,10.0
01049960401,10.0
01049960402,10.0
01049960500,10.0
01049960601,10.0
01049960602,10.0
01049960701,10.0
01049960702,10.0
01049960703,10.0
01049960800,10.0
01049960900,10.0
01049961000,10.0
01049961100,10.0
01049961200,10.0
01049961300,10.0
01049961400,10.0
01051030101,2.0
01051030102,2.0
01051030103,2.0
01051030200,2.0
01051030300,2.0
01051030401,2.0
01051030402,2.0
01051030500,2.0
01051030600,2.0
01051030701,2.0
01051030702,2.0
01051030801,2.0
01051030802,2.0
01051030901,2.0
01051030902,2.0
01051031001,2.0
01051031002,2.0
01051031100,2.0
01051031200,2.0
01051031300,2.0
01053969801,0.0
01053969802,0.0
01053969900,0.0
01053970100,0.0
01053970200,0.0
01053970300,0.0
01053970400,1.0
01053970500,1.0
01053970600,0.0
01053970700,0.0
01055000200,10.0
01055000300,10.0
01055000400,10.0
01055000500,10.0
01055000600,10.0
01055000700,10.0
01055000800,10.0
01055000900,10.0
01055001000,10.0
01055001100,10.0
01055001200,10.0
01055001300,10.0
01055001600,10.0
01055001700,10.0
01055010100,10.0
01055010201,10.0
01055010202,10.0
01055010300,10.0
01055010401,10.0
01055010402,10.0
01055010503,10.0
01055010504,10.0
01055010505,10.0
01055010506,10.0
01055010601,10.0
01055010602,10.0
01055010700,10.0
01055010800,10.0
01055010900,10.0
01055011001,10.0
01055011002,10.0
01055011100,10.0
01055011200,10.0
01057020000,3.0
01057020100,3.0
01057020200,3.0
01057020300,3.0
01057020400,3.0
01059972900,4.0
01059973000,4.0
01059973100,4.0
01059973200,4.0
01059973300,4.0
01059973400,3.0
01059973500,3.0
01059973600,3.0
01059973701,3.0
01059973702,3.0
01059973703,3.0
01061050100,0.0
01061050200,0.0
01061050300,0.0
01061050400,0.0
01061050500,0.0
01061050600,0.0
01063060000,3.0
01063060101,3.0
01063060102,3.0
01063060200,3.0
01065040000,3.0
01065040100,3.0
01065040200,2.0
01065040300,2.0
01065040401,2.0
01065040402,2.0
01065040500,2.0
01067030100,0.0
01067030200,0.0
01067030300,0.0
01067030400,0.0
01067030500,0.0
01067030600,0.0
01069040100,0.0
01069040203,0.0
01069040204,0.0
01069040205,0.0
01069040206,0.0
01069040301,0.0
01069040302,0.0
01069040400,0.0
01069040500,0.0
01069040600,0.0
01069040700,0.0
01069040801,0.0
01069040802,0.0
01069040900,0.0
01069041000,0.0
01069041100,0.0
01069041200,0.0
01069041400,0.0
01069041500,0.0
01069041600,0.0
01069041700,0.0
01069041800,0.0
01069041901,0.0
01069041902,0.0
01069042000,0.0
01069042100,0.0
01071950101,9.0
01071950102,10.0
01071950200,9.0
01071950301,9.0
01071950302,9.0
01071950400,9.0
01071950500,10.0
01071950601,9.0
01071950602,9.0
01071950700,10.0
01071950800,10.0
01071950901,10.0
01071950902,10.0
01071951000,10.0
01071951101,10.0
01071951102,10.0
01073000100,4.0
01073000300,4.0
01073000400,4.0
01073000500,4.0
01073000700,4.0
01073000800,4.0
01073001100,4.0
01073001200,4.0
01073001400,4.0
01073001500,4.0
01073001600,4.0
01073001902,4.0
01073002000,4.0
01073002100,4.0
01073002200,4.0
01073002303,4.0
01073002305,4.0
01073002306,4.0
01073002401,4.0
01073002402,4.0
01073002701,4.0
01073002702,4.0
01073002900,4.0
01073003001,4.0
01073003002,4.0
01073003100,4.0
01073003200,4.0
01073003300,4.0
01073003400,4.0
01073003500,4.0
01073003600,4.0
01073003700,4.0
01073003802,4.0
01073003803,4.0
01073003900,4.0
01073004000,4.0
01073004200,4.0
01073004501,4.0
01073004502,4.0
01073004701,4.0
01073004702,4.0
01073004800,4.0
01073004901,4.0
01073004902,4.0
01073005000,4.0
01073005101,4.0
01073005103,4.0
01073005104,4.0
01073005200,4.0
01073005302,4.0
01073005500,4.0
01073005600,4.0
01073005701,4.0
01073005702,4.0
01073005800,4.0
01073005903,4.0
01073005905,4.0
01073005907,4.0
01073005908,4.0
01073005909,4.0
01073005910,4.0
01073010001,4.0
01073010002,4.0
01073010100,4.0
01073010200,4.0
01073010301,4.0
01073010302,4.0
01073010401,4.0
01073010402,4.0
01073010500,4.0
01073010603,4.0
01073010604,4.0
01073010605,4.0
01073010701,4.0
01073010702,4.0
01073010703,4.0
01073010704,4.0
01073010705,4.0
01073010706,4.0
01073010801,4.0
01073010802,4.0
01073010803,4.0
01073010804,3.0
01073010806,4.0
01073010807,3.0
01073010900,4.0
01073011002,4.0
01073011003,4.0
01073011004,3.0
01073011108,4.0
01073011109,4.0
01073011110,4.0
01073011112,4.0
01073011113,4.0
01073011114,4.0
01073011115,4.0
01073011116,4.0
01073011117,4.0
01073011205,4.0
01073011206,4.0
01073011207,4.0
01073011208,4.0
01073011209,4.0
01073011210,4.0
01073011301,4.0
01073011303,4.0
01073011304,4.0
01073011401,4.0
01073011402,4.0
01073011500,4.0
01073011600,4.0
01073011704,4.0
01073011706,4.0
01073011707,4.0
01073011708,4.0
01073011709,4.0
01073011710,4.0
01073011803,4.0
01073011804,4.0
01073011805,4.0
01073011806,4.0
01073011901,4.0
01073011904,4.0
01073012001,4.0
01073012003,4.0
01073012004,4.0
01073012103,4.0
01073012104,4.0
01073012200,4.0
01073012302,4.0
01073012304,4.0
01073012306,4.0
01073012307,4.0
01073012401,4.0
01073012402,4.0
01073012403,4.0
01073012500,4.0
01073012602,4.0
01073012701,4.0
01073012703,3.0
