GEOID,District0,District1
01001020100,813.0,6670.0
01001020200,813.0,6670.0
01001020300,813.0,6670.0
01001020400,813.0,6670.0
01001020501,813.0,6670.0
01001020502,813.0,6670.0
01001020503,813.0,6670.0
01001020600,813.0,6670.0
01001020700,813.0,6670.0
01001020801,813.0,6670.0
01001020803,813.0,6670.0
01001020804,813.0,6670.0
01001020805,813.0,6670.0
01001020901,813.0,6670.0
01001020902,813.0,6670.0
01001021000,813.0,6670.0
01001021100,813.0,6670.0
01003010100,18.0,6671.0
01003010200,18.0,6669.0
01003010300,18.0,6671.0
01003010400,18.0,6669.0
01003010500,18.0,6671.0
01003010600,18.0,6671.0
01003010704,18.0,6671.0
01003010706,18.0,6671.0
01003010707,18.0,6671.0
01003010708,18.0,6671.0
01003010709,18.0,6671.0
01003010710,18.0,6671.0
01003010711,18.0,6671.0
01003010800,18.0,6671.0
01003010903,18.0,6669.0
01003010904,18.0,6669.0
01003010906,18.0,6669.0
01003010907,18.0,6669.0
01003010908,18.0,6669.0
01003011000,18.0,6669.0
01003011102,18.0,6669.0
01003011103,18.0,6671.0
01003011104,18.0,6669.0
01003011201,18.0,6671.0
01003011202,18.0,6671.0
01003011300,18.0,6669.0
01003011409,18.0,6669.0
01003011410,18.0,6669.0
01003011411,18.0,6669.0
01003011412,18.0,6669.0
01003011413,18.0,6669.0
01003011414,18.0,6669.0
01003011415,18.0,6669.0
01003011416,18.0,6669.0
01003011417,18.0,6669.0
01003011418,18.0,6669.0
01003011419,18.0,6669.0
01003011501,18.0,6669.0
01003011503,18.0,6669.0
01003011504,18.0,6669.0
01003011601,18.0,6669.0
01003011603,18.0,6669.0
01003011604,18.0,6669.0
01005950100,813.0,6669.0
01005950200,813.0,6669.0
01005950300,813.0,6669.0
01005950400,813.0,6669.0
01005950500,813.0,6669.0
01005950600,813.0,6669.0
01005950700,813.0,6669.0
01005950800,813.0,6669.0
01005950900,813.0,6669.0
01007010001,18.0,6670.0
01007010005,18.0,6670.0
01007010006,18.0,6670.0
01007010007,18.0,6670.0
01007010008,18.0,6670.0
01007010009,18.0,6670.0
01007010010,18.0,6670.0
01007010011,18.0,6670.0
01009050103,2965.0,3043.0
01009050104,2965.0,3043.0
01009050105,2965.0,3043.0
01009050106,2965.0,3043.0
01009050107,2965.0,3043.0
01009050200,2965.0,3043.0
01009050301,2965.0,3043.0
01009050302,2965.0,3043.0
01009050400,2965.0,3043.0
01009050501,2965.0,3043.0
01009050502,2965.0,3043.0
01009050601,2965.0,3043.0
01009050603,2431.0,3043.0
01009050604,2965.0,3043.0
01009050701,2431.0,3043.0
01009050702,2431.0,3043.0
01011952100,813.0,6669.0
01011952201,813.0,6669.0
01011952202,813.0,6669.0
01011952500,813.0,6669.0
01013952700,18.0,6671.0
01013952800,18.0,6671.0
01013952900,18.0,6671.0
01013953000,18.0,6671.0
01013953100,18.0,6671.0
01013953200,18.0,6671.0
01013953300,18.0,6671.0
01013953400,18.0,6671.0
01013953500,18.0,6671.0
01015000200,2965.0,3043.0
01015000300,2965.0,3043.0
01015000400,2965.0,3043.0
01015000500,2965.0,3043.0
01015000600,2431.0,3043.0
01015000700,2965.0,3043.0
01015000800,2965.0,3043.0
01015000900,2965.0,3043.0
01015001000,2965.0,3043.0
01015001101,2965.0,3043.0
01015001102,2965.0,3043.0
01015001103,2431.0,3043.0
01015001201,2431.0,3043.0
01015001202,2431.0,3043.0
01015001300,2431.0,3043.0
01015001400,2431.0,3043.0
01015001501,2431.0,3043.0
01015001502,2431.0,3043.0
01015001600,2965.0,3043.0
01015001700,2965.0,3043.0
01015001801,2965.0,3043.0
01015001802,2965.0,3043.0
01015002001,2965.0,3043.0
01015002002,2965.0,3043.0
01015002101,2965.0,3043.0
01015002102,2965.0,3043.0
01015002104,2965.0,3043.0
01015002105,2965.0,3043.0
01015002200,2965.0,3043.0
01015002300,2965.0,3043.0
01015002400,2965.0,3043.0
01015002502,2965.0,3043.0
01015002503,2965.0,3043.0
01015002504,2965.0,3043.0
01015002600,2431.0,3043.0
01015981901,2431.0,3043.0
01015981902,2431.0,3043.0
01015981903,2965.0,3043.0
01017953800,2431.0,3043.0
01017953900,2431.0,3043.0
01017954001,2431.0,3043.0
01017954002,2431.0,3043.0
01017954200,2431.0,3043.0
01017954300,2431.0,3043.0
01017954600,2431.0,3043.0
01017954700,2431.0,3043.0
01017954800,2431.0,3043.0
01019955701,2965.0,3043.0
01019955702,2965.0,3043.0
01019955801,2965.0,3043.0
01019955802,2965.0,3043.0
01019955900,2965.0,3043.0
01019956000,2965.0,3043.0
01019956101,2965.0,3043.0
01019956102,2965.0,3043.0
01021060101,813.0,6670.0
01021060103,813.0,6670.0
01021060104,813.0,6670.0
01021060200,813.0,6670.0
01021060300,813.0,3768.0
01021060401,813.0,6670.0
01021060403,813.0,3768.0
01021060404,813.0,3768.0
01021060500,813.0,6670.0
01021060600,813.0,6670.0
01021060701,813.0,6670.0
01021060702,813.0,6670.0
01023956700,17.0,6671.0
01023956800,17.0,6671.0
01023956900,17.0,6671.0
01023957000,17.0,6671.0
01025957500,17.0,6671.0
01025957601,17.0,6671.0
01025957603,17.0,6671.0
01025957604,17.0,6671.0
01025957700,17.0,6671.0
01025957800,17.0,6671.0
01025957901,17.0,6671.0
01025957902,17.0,6671.0
01025958003,17.0,6671.0
01027958900,2431.0,3043.0
01027959000,2431.0,3043.0
01027959100,2431.0,3043.0
01027959200,2431.0,3043.0
01029959500,2965.0,3043.0
01029959600,2965.0,3043.0
01029959700,2965.0,3043.0
01029959800,2965.0,3043.0
01031010100,18.0,6669.0
01031010200,18.0,6669.0
01031010300,18.0,6669.0
01031010400,18.0,6669.0
01031010500,18.0,6669.0
01031010600,18.0,6669.0
01031010700,18.0,6669.0
01031010800,18.0,6669.0
01031010900,18.0,6669.0
01031011000,18.0,6669.0
01031011100,18.0,6669.0
01031011203,18.0,6669.0
01031011204,18.0,6669.0
01031011205,18.0,6669.0
01031011206,18.0,6669.0
01031011300,18.0,6669.0
01033020100,2964.0,3769.0
01033020200,2964.0,3769.0
01033020300,2964.0,3769.0
01033020400,2964.0,3769.0
01033020500,2965.0,3769.0
01033020600,2964.0,3769.0
01033020703,2964.0,3769.0
01033020704,2964.0,3769.0
01033020705,2964.0,3769.0
01033020706,2964.0,3769.0
01033020801,2964.0,3769.0
01033020802,2965.0,3769.0
01033020901,2965.0,3769.0
01033020902,2965.0,3769.0
01033021000,2965.0,3769.0
01035960200,18.0,6671.0
01035960300,18.0,6671.0
01035960400,18.0,6671.0
01035960500,18.0,6671.0
01035960600,18.0,6671.0
01037961000,812.0,3768.0
01037961100,812.0,3768.0
01037961200,812.0,3768.0
01039961600,18.0,6669.0
01039961700,18.0,6669.0
01039961800,18.0,6669.0
01039961900,18.0,6669.0
01039962000,18.0,6669.0
01039962100,18.0,6669.0
01039962300,18.0,6669.0
01039962400,18.0,6669.0
01039962500,18.0,6669.0
01039962600,18.0,6669.0
01039962700,18.0,6669.0
01039962800,18.0,6669.0
01039962900,18.0,6669.0
01039963000,18.0,6669.0
01041963400,18.0,6669.0
01041963500,18.0,6669.0
01041963600,18.0,6669.0
01041963700,18.0,6669.0
01041963800,18.0,6669.0
01041963900,18.0,6669.0
01043964100,2965.0,3043.0
01043964201,2965.0,3043.0
01043964202,2965.0,3043.0
01043964300,2965.0,3043.0
01043964400,2965.0,3769.0
01043964500,2965.0,3769.0
01043964600,2965.0,3769.0
01043964700,2965.0,3769.0
01043964800,2965.0,3769.0
01043964901,2965.0,3043.0
01043964902,2965.0,3043.0
01043965001,2965.0,3769.0
01043965002,2965.0,3769.0
01043965100,2965.0,3769.0
01043965200,2965.0,3043.0
01043965300,2965.0,3043.0
01043965401,2965.0,3769.0
01043965402,2965.0,3769.0
01043965501,2965.0,3769.0
01043965502,2965.0,3769.0
01043965600,2965.0,3769.0
01043965700,2965.0,3769.0
01045020000,813.0,6669.0
01045020100,813.0,6669.0
01045020200,813.0,6669.0
01045020300,813.0,6669.0
01045020400,813.0,6669.0
01045020500,813.0,6669.0
01045020700,813.0,6669.0
01045020801,813.0,6669.0
01045020802,813.0,6669.0
01045021101,813.0,6669.0
01045021102,813.0,6669.0
01045021200,813.0,6669.0
01045021300,813.0,6669.0
01045021400,813.0,6669.0
01047956101,18.0,6671.0
01047956102,18.0,6671.0
01047956201,18.0,6671.0
01047956202,18.0,6671.0
01047956300,18.0,6671.0
01047956400,18.0,6671.0
01047956500,18.0,6671.0
01047956600,18.0,6671.0
01047956701,18.0,6671.0
01047956702,18.0,6671.0
01047956800,18.0,6671.0
01047956900,18.0,6671.0
01047957000,18.0,6671.0
01047957100,18.0,6671.0
01047957200,18.0,6671.0
01047957301,18.0,6671.0
01047957302,18.0,6671.0
01049960101,2964.0,3044.0
01049960102,2964.0,3044.0
01049960200,2964.0,3044.0
01049960301,2964.0,3044.0
01049960302,2964.0,3044.0
01049960303,2964.0,3044.0
01049960401,2964.0,3044.0
01049960402,2965.0,3044.0
01049960500,2965.0,3044.0
01049960601,2965.0,3044.0
01049960602,2965.0,3044.0
01049960701,2965.0,3044.0
01049960702,2965.0,3044.0
01049960703,2965.0,3043.0
01049960800,2965.0,3043.0
01049960900,2965.0,3044.0
01049961000,2965.0,3043.0
01049961100,2965.0,3044.0
01049961200,2964.0,3044.0
01049961300,2964.0,3043.0
01049961400,2964.0,3043.0
01051030101,812.0,6670.0
01051030102,812.0,6670.0
01051030103,813.0,6670.0
01051030200,812.0,6670.0
01051030300,812.0,6670.0
01051030401,812.0,6670.0
01051030402,812.0,6670.0
01051030500,812.0,6670.0
01051030600,812.0,6670.0
01051030701,813.0,6670.0
01051030702,812.0,6670.0
01051030801,812.0,6670.0
01051030802,812.0,6670.0
01051030901,813.0,6670.0
01051030902,813.0,6670.0
01051031001,813.0,6670.0
01051031002,813.0,6670.0
01051031100,813.0,6670.0
01051031200,812.0,6670.0
01051031300,813.0,6670.0
01053969801,18.0,6669.0
01053969802,18.0,6669.0
01053969900,18.0,6669.0
01053970100,18.0,6669.0
01053970200,18.0,6669.0
01053970300,18.0,6669.0
01053970400,18.0,6669.0
01053970500,18.0,6669.0
01053970600,18.0,6669.0
01053970700,18.0,6669.0
01055000200,2965.0,3043.0
01055000300,2965.0,3043.0
01055000400,2965.0,3043.0
01055000500,2965.0,3043.0
01055000600,2965.0,3043.0
01055000700,2965.0,3043.0
01055000800,2965.0,3043.0
01055000900,2965.0,3043.0
01055001000,2965.0,3043.0
01055001100,2965.0,3043.0
01055001200,2965.0,3043.0
01055001300,2965.0,3043.0
01055001600,2965.0,3043.0
01055001700,2965.0,3043.0
01055010100,2965.0,3043.0
01055010201,2965.0,3043.0
01055010202,2965.0,3043.0
01055010300,2965.0,3043.0
01055010401,2965.0,3043.0
01055010402,2965.0,3043.0
01055010503,2965.0,3043.0
01055010504,2965.0,3043.0
01055010505,2965.0,3043.0
01055010506,2965.0,3043.0
01055010601,2965.0,3043.0
01055010602,2965.0,3043.0
01055010700,2965.0,3043.0
01055010800,2965.0,3043.0
01055010900,2965.0,3043.0
01055011001,2965.0,3043.0
01055011002,2965.0,3043.0
01055011100,2965.0,3043.0
01055011200,2965.0,3043.0
01057020000,2431.0,3768.0
01057020100,2431.0,3768.0
01057020200,2431.0,3768.0
01057020300,2431.0,3768.0
01057020400,2431.0,3768.0
01059972900,2965.0,3769.0
01059973000,2965.0,3769.0
01059973100,2431.0,3769.0
01059973200,2965.0,3769.0
01059973300,2965.0,3769.0
01059973400,2431.0,3769.0
01059973500,2431.0,3769.0
01059973600,2431.0,3769.0
01059973701,2431.0,3769.0
01059973702,2965.0,3769.0
01059973703,2965.0,3769.0
01061050100,18.0,6669.0
01061050200,18.0,6669.0
01061050300,18.0,6669.0
01061050400,18.0,6669.0
01061050500,18.0,6669.0
01061050600,18.0,6669.0
01063060000,17.0,6670.0
01063060101,17.0,6670.0
01063060102,17.0,6670.0
01063060200,17.0,6670.0
01065040000,17.0,6670.0
01065040100,17.0,6670.0
01065040200,17.0,6670.0
01065040300,17.0,6670.0
01065040401,17.0,6670.0
01065040402,17.0,6670.0
01065040500,17.0,6670.0
01067030100,813.0,6669.0
01067030200,813.0,6669.0
01067030300,813.0,6669.0
01067030400,813.0,6669.0
01067030500,813.0,6669.0
01067030600,813.0,6669.0
01069040100,813.0,6669.0
01069040203,813.0,6669.0
01069040204,813.0,6669.0
01069040205,813.0,6669.0
01069040206,813.0,6669.0
01069040301,813.0,6669.0
01069040302,813.0,6669.0
01069040400,813.0,6669.0
01069040500,813.0,6669.0
01069040600,813.0,6669.0
01069040700,813.0,6669.0
01069040801,813.0,6669.0
01069040802,813.0,6669.0
01069040900,813.0,6669.0
01069041000,813.0,6669.0
01069041100,813.0,6669.0
01069041200,813.0,6669.0
01069041400,813.0,6669.0
01069041500,813.0,6669.0
01069041600,813.0,6669.0
01069041700,813.0,6669.0
01069041800,813.0,6669.0
01069041901,813.0,6669.0
01069041902,813.0,6669.0
01069042000,813.0,6669.0
01069042100,813.0,6669.0
01071950101,2964.0,3044.0
01071950102,2964.0,3044.0
01071950200,2964.0,3044.0
01071950301,2964.0,3044.0
01071950302,2964.0,3044.0
01071950400,2964.0,3044.0
01071950500,2964.0,3044.0
01071950601,2964.0,3044.0
01071950602,2964.0,3044.0
01071950700,2964.0,3044.0
01071950800,2964.0,3044.0
01071950901,2964.0,3044.0
01071950902,2964.0,3044.0
01071951000,2964.0,3044.0
01071951101,2964.0,3044.0
01071951102,2964.0,3044.0
01073000100,812.0,3769.0
01073000300,812.0,3769.0
01073000400,812.0,3769.0
01073000500,812.0,3769.0
01073000700,812.0,3769.0
01073000800,812.0,3769.0
01073001100,812.0,3769.0
01073001200,17.0,3769.0
01073001400,17.0,3769.0
01073001500,812.0,3769.0
01073001600,812.0,3769.0
01073001902,812.0,3769.0
01073002000,812.0,3769.0
01073002100,812.0,3769.0
01073002200,812.0,3769.0
01073002303,812.0,3769.0
01073002305,812.0,3769.0
01073002306,812.0,3769.0
01073002401,812.0,3769.0
01073002402,812.0,3769.0
01073002701,812.0,3769.0
01073002702,812.0,3769.0
01073002900,17.0,3769.0
01073003001,17.0,3769.0
01073003002,17.0,3769.0
01073003100,17.0,3768.0
01073003200,17.0,3768.0
01073003300,17.0,3768.0
01073003400,17.0,3768.0
01073003500,17.0,3768.0
01073003600,812.0,3768.0
01073003700,812.0,3768.0
01073003802,812.0,3768.0
01073003803,812.0,3768.0
01073003900,17.0,3768.0
01073004000,17.0,3768.0
01073004200,17.0,3769.0
01073004501,17.0,3769.0
01073004502,812.0,3769.0
01073004701,812.0,3769.0
01073004702,812.0,3769.0
01073004800,812.0,3769.0
01073004901,812.0,3769.0
01073004902,812.0,3769.0
01073005000,812.0,3769.0
01073005101,17.0,3769.0
01073005103,812.0,3768.0
01073005104,812.0,3768.0
01073005200,812.0,3768.0
01073005302,812.0,3769.0
01073005500,812.0,3769.0
01073005600,812.0,3769.0
01073005701,812.0,3768.0
01073005702,812.0,3768.0
01073005800,812.0,3769.0
01073005903,812.0,3769.0
01073005905,812.0,3769.0
01073005907,812.0,3769.0
01073005908,812.0,3769.0
01073005909,812.0,3769.0
01073005910,812.0,3769.0
01073010001,17.0,3768.0
01073010002,17.0,3768.0
01073010100,17.0,3768.0
01073010200,17.0,3768.0
01073010301,17.0,3768.0
01073010302,17.0,3768.0
01073010401,17.0,3768.0
01073010402,17.0,3768.0
01073010500,17.0,3768.0
01073010603,17.0,3768.0
01073010604,812.0,3768.0
01073010605,17.0,3768.0
01073010701,812.0,3769.0
01073010702,812.0,3769.0
01073010703,812.0,3768.0
01073010704,812.0,3768.0
01073010705,812.0,3768.0
01073010706,812.0,3768.0
01073010801,812.0,3769.0
01073010802,812.0,3769.0
01073010803,812.0,3769.0
01073010804,812.0,3769.0
01073010806,812.0,3769.0
01073010807,812.0,3769.0
01073010900,812.0,3769.0
01073011002,2431.0,3769.0
01073011003,2431.0,3769.0
01073011004,2431.0,3769.0
01073011108,812.0,3769.0
01073011109,812.0,3769.0
01073011110,2431.0,3769.0
01073011112,812.0,3769.0
01073011113,812.0,3769.0
01073011114,812.0,3769.0
01073011115,812.0,3769.0
01073011116,2431.0,3769.0
01073011117,812.0,3769.0
01073011205,2431.0,3769.0
01073011206,2431.0,3769.0
01073011207,812.0,3769.0
01073011208,2431.0,3769.0
01073011209,812.0,3769.0
01073011210,2431.0,3769.0
01073011301,2431.0,3769.0
01073011303,2431.0,3769.0
01073011304,2431.0,3769.0
01073011401,2431.0,3769.0
01073011402,2431.0,3769.0
01073011500,2431.0,3769.0
01073011600,2431.0,3769.0
01073011704,2431.0,3769.0
01073011706,2431.0,3769.0
01073011707,2431.0,3769.0
01073011708,812.0,3769.0
01073011709,2431.0,3769.0
01073011710,2431.0,3769.0
01073011803,812.0,3769.0
01073011804,812.0,3769.0
01073011805,812.0,3769.0
01073011806,812.0,3769.0
01073011901,812.0,3769.0
01073011904,812.0,3769.0
01073012001,812.0,3769.0
01073012003,2431.0,3769.0
01073012004,812.0,3769.0
01073012103,2431.0,3769.0
01073012104,2431.0,3769.0
01073012200,2431.0,3768.0
01073012302,17.0,3768.0
01073012304,17.0,3768.0
01073012306,17.0,3768.0
01073012307,17.0,3768.0
01073012401,812.0,3769.0
01073012402,2431.0,3769.0
01073012403,2431.0,3768.0
01073012500,17.0,3768.0
01073012602,812.0,3769.0
01073012701,812.0,3769.0
01073012703,812.0,3769.0
01073012704,812.0,3769.0
01073012802,812.0,3768.0
01073012804,812.0,3769.0
01073012805,812.0,3768.0
01073012905,812.0,3768.0
01073012907,812.0,3768.0
01073012908,812.0,3768.0
01073012910,812.0,3768.0
01073012911,812.0,3768.0
01073012913,812.0,3768.0
01073012914,812.0,3768.0
01073012916,812.0,3768.0
01073012917,812.0,3768.0
01073012918,813.0,3768.0
01073012919,812.0,3768.0
01073012920,813.0,3768.0
01073012921,812.0,3768.0
01073013002,812.0,3768.0
01073013100,812.0,3768.0
01073013200,812.0,3768.0
01073013300,17.0,3768.0
01073013400,17.0,3768.0
01073013601,17.0,3768.0
01073013801,17.0,3768.0
01073013901,17.0,3768.0
01073013902,17.0,3768.0
01073014001,17.0,3768.0
01073014002,17.0,3768.0
01073014104,17.0,3768.0
01073014105,17.0,3768.0
01073014106,17.0,3768.0
01073014107,17.0,3768.0
01073014205,813.0,3768.0
01073014206,17.0,3768.0
01073014207,17.0,3768.0
01073014208,813.0,3768.0
01073014209,17.0,3768.0
01073014301,17.0,3768.0
01073014303,812.0,3768.0
01073014304,812.0,3768.0
01073014404,813.0,3768.0
01073014405,813.0,3768.0
01073014406,813.0,3768.0
01073014408,813.0,3768.0
01073014409,813.0,3768.0
01073014410,813.0,3768.0
01073014412,813.0,3768.0
01073014414,813.0,3768.0
01073014415,813.0,3768.0
01075030000,2431.0,3768.0
01075030101,2431.0,3768.0
01075030102,2431.0,3768.0
01075030200,2431.0,3768.0
01077010100,2964.0,3769.0
01077010200,2964.0,3769.0
01077010300,2964.0,3769.0
01077010400,2964.0,3769.0
01077010600,2964.0,3769.0
01077010700,2964.0,3769.0
01077010800,2964.0,3769.0
01077010901,2964.0,3769.0
01077010902,2964.0,3769.0
01077011000,2964.0,3769.0
01077011101,2964.0,3769.0
01077011102,2964.0,3769.0
01077011200,2964.0,3769.0
01077011300,2964.0,3769.0
01077011401,2964.0,3769.0
01077011402,2964.0,3769.0
01077011502,2964.0,3769.0
01077011503,2964.0,3769.0
01077011504,2964.0,3769.0
01077011602,2964.0,3769.0
01077011603,2964.0,3769.0
01077011605,2964.0,3769.0
01077011606,2964.0,3769.0
01077011700,2964.0,3769.0
01077011801,2964.0,3769.0
01077011802,2964.0,3769.0
01079979100,2964.0,3769.0
01079979201,2964.0,3769.0
01079979202,2964.0,3769.0
01079979300,2965.0,3769.0
01079979400,2965.0,3769.0
01079979501,2965.0,3769.0
01079979502,2965.0,3769.0
01079979600,2965.0,3769.0
01079979700,2965.0,3769.0
01079979800,2965.0,3769.0
01079979900,2965.0,3769.0
01081040201,2431.0,6670.0
01081040202,2431.0,6669.0
01081040300,2431.0,6669.0
01081040401,2431.0,6669.0
01081040402,2431.0,6669.0
01081040403,2431.0,6669.0
01081040501,2431.0,6669.0
01081040502,2431.0,6669.0
01081040602,2431.0,6670.0
01081040603,2431.0,6670.0
01081040605,2431.0,6670.0
01081040606,2431.0,6670.0
01081040607,2431.0,6670.0
01081040700,2431.0,6669.0
01081040801,2431.0,6670.0
01081040802,2431.0,6670.0
01081040901,2431.0,6670.0
01081040903,2431.0,6670.0
01081040904,2431.0,6669.0
01081041001,2431.0,6670.0
01081041002,2431.0,6670.0
01081041101,2431.0,6670.0
01081041102,2431.0,6670.0
01081041103,2431.0,6670.0
01081041104,2431.0,6670.0
01081041200,2431.0,3043.0
01081041300,2431.0,6669.0
01081041400,2431.0,6669.0
01081041600,2431.0,3043.0
01081041701,2431.0,6669.0
01081041702,2431.0,6669.0
01081041703,2431.0,3043.0
01081041801,2431.0,6669.0
01081041802,2431.0,3043.0
01081041803,2431.0,3043.0
01081041901,2431.0,6669.0
01081041902,2431.0,6669.0
01081041903,2431.0,6669.0
01081042002,2431.0,6669.0
01081042003,2431.0,6669.0
01081042005,2431.0,6669.0
01081042006,2431.0,6669.0
01081042007,2431.0,6669.0
01081042008,2431.0,6669.0
01081042009,2431.0,6669.0
01081042101,2431.0,6669.0
01081042103,2431.0,6669.0
01081042104,2431.0,6669.0
01083020101,2964.0,3044.0
01083020103,2964.0,3044.0
01083020104,2964.0,3044.0
01083020201,2964.0,3044.0
01083020202,2964.0,3044.0
01083020300,2964.0,3044.0
01083020402,2964.0,3044.0
01083020403,2964.0,3044.0
01083020404,2964.0,3044.0
01083020500,2964.0,3044.0
01083020600,2964.0,3044.0
01083020700,2964.0,3044.0
01083020803,2964.0,3044.0
01083020804,2964.0,3044.0
01083020805,2964.0,3044.0
