GEOID,District0,District1,District2
01001020100,10702.0,11230.0,11580.0
01001020200,10702.0,11230.0,11580.0
01001020300,10702.0,11230.0,11580.0
01001020400,10702.0,11230.0,11580.0
01001020501,10702.0,11230.0,11580.0
01001020502,10702.0,11230.0,11580.0
01001020503,10702.0,11230.0,11580.0
01001020600,10702.0,11230.0,11580.0
01001020700,10702.0,11230.0,11580.0
01001020801,10702.0,11230.0,11580.0
01001020803,10702.0,11230.0,11580.0
01001020804,10702.0,11230.0,11580.0
01001020805,10702.0,11230.0,11580.0
01001020901,10702.0,11230.0,11580.0
01001020902,10702.0,11230.0,11580.0
01001021000,10702.0,11230.0,11580.0
01001021100,10702.0,11230.0,11580.0
01003010100,10813.0,11231.0,15167.0
01003010200,10813.0,11231.0,15167.0
01003010300,10813.0,11231.0,15167.0
01003010400,10813.0,11231.0,15167.0
01003010500,10813.0,11231.0,15167.0
01003010600,10813.0,11231.0,15167.0
01003010704,10813.0,11231.0,15167.0
01003010706,10813.0,11231.0,15167.0
01003010707,10813.0,11231.0,15167.0
01003010708,10813.0,11231.0,15167.0
01003010709,10813.0,11231.0,15167.0
01003010710,10813.0,11231.0,15167.0
01003010711,10813.0,11231.0,15167.0
01003010800,10813.0,11231.0,15167.0
01003010903,10813.0,11231.0,15167.0
01003010904,10813.0,11231.0,15167.0
01003010906,10813.0,11231.0,15167.0
01003010907,10813.0,11231.0,15167.0
01003010908,10813.0,11231.0,15167.0
01003011000,10813.0,11231.0,15167.0
01003011102,10813.0,11231.0,15167.0
01003011103,10813.0,11231.0,15167.0
01003011104,10813.0,11231.0,15167.0
01003011201,10813.0,11231.0,15167.0
01003011202,10813.0,11231.0,15167.0
01003011300,10813.0,11231.0,15167.0
01003011409,10813.0,11231.0,15167.0
01003011410,10813.0,11231.0,15167.0
01003011411,10813.0,11231.0,15167.0
01003011412,10813.0,11231.0,15167.0
01003011413,10813.0,11231.0,15167.0
01003011414,10813.0,11231.0,15167.0
01003011415,10813.0,11231.0,15167.0
01003011416,10813.0,11231.0,15167.0
01003011417,10813.0,11231.0,15167.0
01003011418,10813.0,11231.0,15167.0
01003011419,10813.0,11231.0,15167.0
01003011501,10813.0,11231.0,15167.0
01003011503,10813.0,11231.0,15167.0
01003011504,10813.0,11231.0,15167.0
01003011601,10813.0,11231.0,15167.0
01003011603,10813.0,11231.0,15167.0
01003011604,10813.0,11231.0,15167.0
01005950100,10812.0,10836.0,11579.0
01005950200,10812.0,10836.0,11579.0
01005950300,10812.0,10836.0,11579.0
01005950400,10812.0,10836.0,11579.0
01005950500,10812.0,10836.0,11579.0
01005950600,10812.0,10836.0,11579.0
01005950700,10812.0,10836.0,11579.0
01005950800,10812.0,10836.0,11579.0
01005950900,10812.0,10836.0,11579.0
01007010001,10702.0,11230.0,15638.0
01007010005,10702.0,11230.0,15638.0
01007010006,10702.0,11230.0,15638.0
01007010007,10702.0,11230.0,15638.0
01007010008,10702.0,11230.0,15638.0
01007010009,10702.0,11230.0,15638.0
01007010010,10702.0,11230.0,15638.0
