GEOID20,District0,District1
360290007005003,28.0,72.0
360290007005004,28.0,72.0
360290007005005,28.0,72.0
360290007005006,28.0,72.0
360290008001000,28.0,72.0
360290008001001,28.0,72.0
360290008001002,28.0,72.0
360290008001003,28.0,72.0
360290008001004,28.0,72.0
360290008001005,28.0,72.0
360290008001006,28.0,72.0
360290008001007,28.0,72.0
360290008002000,28.0,72.0
360290008002001,28.0,72.0
360290008002002,28.0,72.0
360290008002003,28.0,72.0
360290008002004,28.0,72.0
360290008002005,28.0,72.0
360290008002006,28.0,72.0
360290008002007,28.0,72.0
360290008002008,28.0,72.0
360290008002009,28.0,72.0
360290008002010,28.0,72.0
360290008002011,28.0,72.0
360290008003000,28.0,72.0
360290008003001,28.0,72.0
360290008003002,28.0,72.0
360290008003003,28.0,72.0
360290008003004,28.0,72.0
360290008003005,28.0,72.0
360290008003006,28.0,72.0
360290008003007,28.0,72.0
360290008003008,28.0,72.0
360290008003009,28.0,72.0
360290008003010,28.0,72.0
360290008003011,28.0,72.0
360290008004000,28.0,72.0
360290008004001,28.0,72.0
360290008004002,28.0,72.0
360290008004003,28.0,72.0
360290008004004,28.0,72.0
360290008004005,28.0,72.0
360290009001000,28.0,72.0
360290009001001,28.0,72.0
360290009001002,28.0,72.0
360290009001003,28.0,72.0
360290009001004,28.0,72.0
360290009001005,28.0,72.0
360290009001006,28.0,72.0
360290009002000,28.0,72.0
360290009002001,28.0,72.0
360290009002002,28.0,72.0
360290009002003,28.0,72.0
360290009002004,28.0,72.0
360290009002005,28.0,72.0
360290009002006,28.0,72.0
360290009002007,28.0,72.0
360290009002008,28.0,72.0
360290009002009,28.0,72.0
360290009002010,28.0,72.0
360290009002011,28.0,72.0
360290009003000,28.0,72.0
360290009003001,28.0,72.0
360290009003002,28.0,72.0
360290009003003,28.0,72.0
360290009003004,28.0,72.0
360290009003005,28.0,72.0
360290009003006,28.0,72.0
360290009003007,28.0,72.0
360290009003008,28.0,72.0
360290009003009,28.0,72.0
360290010001000,28.0,72.0
360290010001001,28.0,72.0
360290010001002,28.0,72.0
360290010001003,28.0,72.0
360290010001004,28.0,72.0
360290010001005,28.0,72.0
360290010001006,28.0,72.0
360290010001007,28.0,72.0
360290010001008,28.0,72.0
360290010001009,28.0,72.0
360290010001010,28.0,72.0
360290010001011,28.0,72.0
360290010001012,28.0,72.0
360290010001013,28.0,72.0
360290010001014,28.0,72.0
360290010002000,28.0,72.0
360290010002001,28.0,72.0
360290010002002,28.0,72.0
360290010002003,28.0,72.0
360290010002004,28.0,72.0
360290010003000,28.0,72.0
360290010003001,28.0,72.0
360290010003002,28.0,72.0
360290010003003,28.0,72.0
360290010003004,28.0,72.0
360290010003005,28.0,72.0
360290010003006,28.0,72.0
360290010003007,28.0,72.0
360290010003008,28.0,72.0
360290010003009,28.0,72.0
360290010003010,28.0,72.0
360290010004000,28.0,72.0
360290010004001,28.0,72.0
360290010004002,28.0,72.0
360290010004003,28.0,72.0
360290010004004,28.0,72.0
360290010004005,28.0,72.0
360290010004006,28.0,72.0
360290010004007,28.0,72.0
360290010004008,28.0,72.0
360290010005000,28.0,72.0
360290010005001,28.0,72.0
360290010005002,28.0,72.0
360290010005003,28.0,72.0
360290010005004,28.0,72.0
360290010005005,28.0,72.0
360290010005006,28.0,72.0
360290010005007,28.0,72.0
360290010005008,28.0,72.0
360290010005009,28.0,72.0
360290010005010,28.0,72.0
360290010005011,28.0,72.0
360290011001000,28.0,86.0
360290011001001,28.0,86.0
360290011001002,28.0,72.0
360290011001003,28.0,72.0
360290011001004,28.0,72.0
360290011001005,28.0,86.0
360290011001006,28.0,86.0
360290011001007,28.0,72.0
360290011001008,28.0,72.0
360290011001009,28.0,72.0
360290011001010,28.0,72.0
360290011002000,28.0,72.0
360290011002001,28.0,72.0
360290011002002,28.0,72.0
360290011002003,28.0,72.0
360290011002004,28.0,72.0
360290011002005,28.0,72.0
360290011003000,29.0,86.0
360290011003001,29.0,72.0
360290011003002,29.0,72.0
360290011003003,29.0,86.0
360290011003004,29.0,86.0
360290011003005,29.0,86.0
360290011003006,29.0,86.0
360290011003007,29.0,86.0
360290011003008,29.0,86.0
360290011003009,29.0,86.0
360290011003010,29.0,86.0
360290011003011,29.0,86.0
360290011003012,29.0,72.0
360290011003013,29.0,72.0
